model,multi factor,multi variable,overall linear,sliced linear
linear,299.53%,100.52%,100.00%,100.00%
poly2,299.51%,100.51%,99.99%,99.99%
poly3,299.49%,100.51%,99.99%,99.99%
exp,299.53%,100.52%,100.00%,100.00%
log,299.53%,100.52%,100.00%,100.00%
power,299.53%,100.52%,100.00%,100.00%
hmult,299.51%,100.52%,100.00%,100.00%
