train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,c5,rmse,loo rmse
cc_align,25,gov,1,flores,-4.417907377212012,-2.7403349464235283,0.17892787437868612,-0.3779125333827501,-2.616702707277427,-0.27998457043078984,1.7335858675303828e-10,0.08967687163970738
cc_align,25,gov,1,bible,-1.2993102502537146,1.051550434512072,0.4233994719573716,-1.5914568515575942,-2.2972801326145165,-1.2675637169877936,4.716531051037303e-10,0.13277756485370146
cc_align,25,gov,1,gov,1.9962176519091492,-9.262438463735355,1.1928988134625202,2.0510970628421656,-2.9542361140982933,2.18583310503235,7.1236528772551735e-09,5.724273663913867
cc_align,25,gov,10,flores,-4.2284019226406295,-1.8543022969629697,-0.22589184073576482,-0.45935509241257894,-0.9654518634374986,-1.1185959464203512,7.532702853854343e-10,0.6584219782872871
cc_align,25,gov,10,bible,1.4882042204363095,-7.2057694347972765,6.580206158652861,-10.904308027458473,-13.795303251121195,5.335938627272504,6.444026943083983e-11,0.3526085833389425
cc_align,25,gov,10,gov,6.303610243498059,-9.693579371539714,0.8538926958364119,2.746778610684687,-1.9271176133315395,2.094871915134773,6.155054247656281e-09,8.135623207030868
cc_align,25,gov,25,flores,2.2214801790801473,1.7527764022595582,-0.8567484232741076,-1.350473375699712,-0.716462731020908,-2.594832022075075,9.614751252682403e-11,0.4723975009519421
cc_align,25,gov,25,bible,0.188660515961388,-3.526445758709035,2.1322593940643175,-3.1626997371200174,-4.362416523953975,1.322552674733402,7.59125833088351e-11,0.4288055262602374
cc_align,25,gov,25,gov,10.970636881017409,-9.771245903293062,0.8433887046996827,3.017371236228517,-1.9335385309227855,2.0963938308485033,3.37755448277292e-08,9.11128622488983
cc_align,25,gov,50,flores,2.060104971018243,-0.49865156840741887,-3.7209830877942496,0.958768878829757,11.576631958765551,-0.29163950307978437,5.49382707704963e-09,1.36363922943221
cc_align,25,gov,50,bible,1.3030487998054163,0.0207797050610413,-0.4327613441469986,-2.496068490450126,4.8583806783793335,0.3249130974053801,3.74119384394124e-09,0.6036368519023588
cc_align,25,gov,50,gov,0.03713891052293066,-1.9421100903572093,0.04290536528762081,1.4905520687944054,-0.5970956526092199,-3.1748458068208216,1.2099051546778643e-09,8.181132542205795
cc_align,25,bible,1,flores,-3.754430217533076,-3.6714934379124045,0.712314099114596,-0.34939049847225,-1.953531377774229,0.6683404117265246,5.766522617554116e-11,0.152608961894229
cc_align,25,bible,1,bible,8.020271344233995,-11.7808432276897,1.6726951315000236,2.560154364767728,-6.169442719616304,4.400028517308332,2.2955696180481298e-09,4.4660355904381515
cc_align,25,bible,1,gov,-2.4480180373048306,-1.4162749031731743,0.25567495183696765,-0.7459420737355946,-2.0085140813034825,0.008477936566803707,1.5508771054554532e-10,0.0574178018244838
cc_align,25,bible,10,flores,-3.1153672179696827,-2.301596669688444,0.4731493150692378,-0.5973353415976783,-1.3381529935358334,-0.17766836421105356,3.3685747895523813e-09,0.09443028494968576
cc_align,25,bible,10,bible,14.991691779306429,-12.114554679486941,1.3304078707988338,3.225836689329329,-4.7307635510986215,4.344909185230311,1.7747154388087454e-08,6.857829277027819
cc_align,25,bible,10,gov,-5.917904798699523,-3.863917474329601,0.5267446170097223,0.20678114370157516,-1.6543993132749282,0.38293366533479717,1.6110644935222037e-08,0.06464422187716447
cc_align,25,bible,25,flores,-6.108267339721899,-4.0617737540650936,0.6005712455117018,-0.039837888064838775,-0.8011701473020049,0.3184038924053185,1.304864720139191e-08,0.03150945344020219
cc_align,25,bible,25,bible,12.139856372116745,-10.876652294658872,1.0222388251112473,2.7597306107151693,-2.959232127455533,3.2939386851898402,5.3229359739461535e-09,7.822611976793051
cc_align,25,bible,25,gov,-5.755232418114051,-3.876887953195827,0.5687712057119465,0.13962556241960833,-1.5748708405555985,0.35562378632623604,1.4893621265374907e-09,0.16824719837509824
cc_align,100,gov,1,flores,0.3586092808463799,0.004773309682167195,-0.23785648978756327,-1.2734401807209195,-2.8964151572864885,-1.209652811919159,1.3387705687360804e-09,0.0019842507990763085
cc_align,100,gov,1,bible,-0.5137079329683466,2.6394196249945088,0.29307869189271296,-2.1535206329604835,-2.933028633214042,-1.8166098488341231,6.457794917094395e-10,0.1507967171137095
cc_align,100,gov,1,gov,2.276672641683689,-9.10909209210614,1.0282730686936836,2.0510378084552694,-2.2897127085364297,2.0983209556531075,3.8314971324593384e-11,5.495830682234381
