model,pareto,rawlsian,cc_align-25-1-ka,cc_align-25-1-gu,cc_align-25-1-hi,cc_align-25-1-si,cc_align-25-1-ta,cc_align-25-10-ka,cc_align-25-10-gu,cc_align-25-10-hi,cc_align-25-10-si,cc_align-25-10-ta,cc_align-25-25-ka,cc_align-25-25-gu,cc_align-25-25-hi,cc_align-25-25-si,cc_align-25-25-ta,cc_align-25-50-hi,cc_align-25-50-si,cc_align-25-50-ta,cc_align-100-1-ka,cc_align-100-1-gu,cc_align-100-1-hi,cc_align-100-1-si,cc_align-100-1-ta,cc_align-100-10-ka,cc_align-100-10-gu,cc_align-100-10-hi,cc_align-100-10-si,cc_align-100-10-ta,cc_align-100-25-ka,cc_align-100-25-gu,cc_align-100-25-hi,cc_align-100-25-si,cc_align-100-25-ta,cc_align-100-50-hi,cc_align-100-50-si,cc_align-100-50-ta,gov-25-1-ka,gov-25-1-gu,gov-25-1-hi,gov-25-1-si,gov-25-1-ta,gov-25-10-ka,gov-25-10-gu,gov-25-10-hi,gov-25-10-si,gov-25-10-ta,gov-25-25-ka,gov-25-25-gu,gov-25-25-hi,gov-25-25-si,gov-25-25-ta,gov-1-1-ka,gov-1-1-gu,gov-1-1-hi,gov-1-1-si,gov-1-1-ta,gov-1-10-ka,gov-1-10-gu,gov-1-10-hi,gov-1-10-si,gov-1-10-ta,gov-1-25-ka,gov-1-25-gu,gov-1-25-hi,gov-1-25-si,gov-1-25-ta,gov-10-1-ka,gov-10-1-gu,gov-10-1-hi,gov-10-1-si,gov-10-1-ta,gov-10-10-ka,gov-10-10-gu,gov-10-10-hi,gov-10-10-si,gov-10-10-ta,gov-10-25-ka,gov-10-25-gu,gov-10-25-hi,gov-10-25-si,gov-10-25-ta,gov-50-1-hi,gov-50-1-si,gov-50-1-ta,gov-50-10-hi,gov-50-10-si,gov-50-10-ta,gov-50-25-hi,gov-50-25-si,gov-50-25-ta,bible-25-1-ka,bible-25-1-gu,bible-25-1-hi,bible-25-1-si,bible-25-1-ta,bible-25-10-ka,bible-25-10-gu,bible-25-10-hi,bible-25-10-si,bible-25-10-ta,bible-25-25-ka,bible-25-25-gu,bible-25-25-hi,bible-25-25-si,bible-25-25-ta,bible-25-50-hi,bible-25-50-si,bible-25-50-ta,bible-1-1-ka,bible-1-1-gu,bible-1-1-hi,bible-1-1-si,bible-1-1-ta,bible-1-10-ka,bible-1-10-gu,bible-1-10-hi,bible-1-10-si,bible-1-10-ta,bible-1-25-ka,bible-1-25-gu,bible-1-25-hi,bible-1-25-si,bible-1-25-ta,bible-1-50-hi,bible-1-50-si,bible-1-50-ta,bible-10-1-ka,bible-10-1-gu,bible-10-1-hi,bible-10-1-si,bible-10-1-ta,bible-10-10-ka,bible-10-10-gu,bible-10-10-hi,bible-10-10-si,bible-10-10-ta,bible-10-25-ka,bible-10-25-gu,bible-10-25-hi,bible-10-25-si,bible-10-25-ta,bible-10-50-hi,bible-10-50-si,bible-10-50-ta
linear,True,True,1.9480049819424008,3.623276691245021,1.907346405792072,2.1140996060600776,2.545641912697977,2.943978269561016,4.6311197422999,2.627099858081403,3.7167590197646536,3.324607953042055,2.899322181107828,4.752410985471706,2.508785857947013,4.079344058774588,3.406529427437226,0.0672805325047792,10.509095140574663,7.72888046370446,2.392205416518517,3.7679652944559994,2.331343179381834,2.2595099080111094,2.833608129621758,2.9154536028362354,4.705933574068679,2.8327499955539017,3.7477266671579352,3.3027687598101667,2.8694844500800314,4.67137005427064,2.5742952755945705,4.081489304446119,3.3999862086218884,2.0029921774448187,10.047214925222963,5.986273499560874,0.9768723894993092,1.2419870466905467,1.177413351858113,3.413187571035922,2.3455265053931704,1.6691452240561924,3.615726568187767,2.168555731611571,7.293164057447004,5.538544347093724,1.735988137684917,3.984043553525932,2.8591823268366707,7.89074114300215,6.300657467093117,0.9297739302277944,2.1370407510449265,1.4057465407987435,4.009697923861164,2.9673935846759174,1.4738305208105655,4.702777996699321,3.1500511892339333,7.800287569270779,6.529698126343359,1.4482983536405556,5.024073879425528,3.836846111565458,8.641296492948666,7.353334204098748,0.970619754379652,1.4642829790396112,1.215034396892842,3.349905441360468,2.4758354959288558,1.5318993567434402,3.981964895600333,2.5648244337681465,7.69460860167894,5.736523711222264,1.5921432456627342,3.916552715227431,3.001604057687287,8.393428597340817,6.647067628606891,0.9907989498450448,3.38570683326557,2.3455265053931864,2.4414778936540644,7.548076135459346,5.812103519944153,3.124769949001784,8.114729587469926,6.559806752051495,5.240479621796231,6.566364700997137,5.481573715839643,8.02874618113164,9.144512426438196,5.838468361894335,6.825707340622599,7.934921895298144,18.37809977696903,16.354240602228387,5.589972748275422,6.9179969957091,7.107983783305114,20.97089992392904,17.07861446892065,5.595844111645614,21.441357409898718,16.4194394096167,4.180202856695885,7.095950996488093,7.265900696306319,9.8272170694866,10.56921812058008,6.118098709330745,6.307609612265696,6.883546108591003,17.77708553763613,16.1810355214715,5.382507251215394,6.0182540640652125,5.878136558748251,19.145554546380787,16.24544956241304,4.375156100617811,19.377589530662902,15.121191029641595,4.89406946028245,6.52217089010608,5.324980565683236,8.490030156584027,9.421071425809473,5.2871963645705,6.836480529864863,7.699871180029071,18.84263136902291,16.296505575309425,5.705442802112732,6.669175447655704,7.155917068548593,21.06589299746849,16.46543617099661,5.821708259885854,21.123861913320223,15.815806693711348
poly2,True,False,1.9117242139809332,2.99925709746703,1.659775632750948,1.3892605389544392,2.450996749377369,2.830991222602616,4.048239375213957,2.490283691335285,2.3363851933906665,2.654062168833152,2.7853989641736066,4.299201161155727,2.415950794341536,2.367184637128533,2.565382704675137,1.929104614993915,13.340623110374516,10.070640936653222,2.216674878341072,3.062024027008955,1.8899425642412888,1.6698236284254593,2.806630241659928,2.747482002544953,4.007712021094861,2.5485260240734378,2.6340166014635344,2.8390988368633305,2.6824236858061554,4.119831231299946,2.33152012414787,2.610764129632788,2.886391844162918,0.1431257856361645,12.90479691174878,8.96946045132102,1.1208291420549883,1.4775837034079349,1.3579306296458022,4.107397072206668,2.817497214886619,1.9584703505016687,3.9864852676313047,2.5438341738594343,8.152140303174905,6.337433392451654,2.088372992456812,4.485843796412385,3.370131421699015,9.280365030419908,7.1501399456050345,1.0740091359589217,2.3490109881053067,1.590849866044478,4.638195555428604,3.4138975141244763,1.719493674503934,5.08757606255558,3.517291030390524,8.732389024410462,7.30589096719219,1.786360901225551,5.471039939771655,4.234854153369136,10.025983914315576,8.242808164862328,1.141336803269405,1.7035268410902606,1.4004217451990717,3.991611830022229,2.912616033032495,1.827554857659104,4.362264595179084,2.9327832554661453,8.616661351447698,6.51236843607736,2.0099653867435165,4.5431934089588015,3.671778965402274,9.785730163999986,7.486334901355246,1.171232955097567,4.070377010730213,2.7931727957965435,2.8074410784649237,8.370747878959776,6.609575666570465,3.7231059372344752,9.479092061868409,7.40436306567191,5.690732838346308,6.896389401088544,5.874278058679085,8.790057496485108,9.49283690063457,6.780008707166705,7.405299746689077,8.424757180615597,18.775451877586484,16.162790993860114,6.768589416434721,7.605985719711277,7.7828914290409985,20.711510921646227,17.028485952420322,6.497205173545376,21.68343605159329,16.74725882965735,4.364443341887071,7.265178695610263,7.298619732154703,9.98563583904105,10.405233321863909,7.072585704420378,6.98892789622023,7.576482806055948,18.087621441070382,16.00536945671024,6.685579816263163,6.8938445212117365,6.825376473644211,19.587495556173405,16.574837680227876,5.5768255460997,20.067522809617717,15.703984236291731,5.342092328155775,6.818765300967142,5.704882081725488,9.134700176522722,9.650244238556482,6.310506138460299,7.434246545128934,8.201749635519464,18.658281778062324,16.10505596694115,6.883903929457764,7.410937622836785,7.864577251864157,20.99596278557103,16.82377295655844,6.743403970194979,21.42450460292933,16.262220209819095
poly3,True,False,0.4608205104654301,1.3653485680876367,0.1235300290975865,1.0799968581838555,0.6297040721777262,1.562512745663057,2.240426324481512,1.111132983545596,2.334111151003179,2.023930242180481,1.3986548894118072,2.387333619761231,0.9694851839853926,2.359703836736609,1.968243162041574,2.7500006264981187,14.593983757073987,11.038153458009152,0.7112527634006375,1.416240729713568,0.3904208586529725,1.321306158049996,0.9928362721348826,1.4736671122646554,2.2117063915700363,1.1638465973929932,2.599429432713919,2.164413823407189,1.3001765914927603,2.2103475443066185,0.9589170483021334,2.5948416977277518,2.200146893643239,0.8390590590297463,14.164900795623216,9.62248603118206,1.2289816964803408,1.602757851666914,1.4904115748305304,4.45293163649827,3.0452662917691717,2.157139004739756,4.572414010467102,2.633512580866828,7.775991473757648,6.683156727477542,2.293754386070274,4.664341053929078,3.4553684440968486,10.077264914778738,7.64969508424454,1.0951980928494016,2.4780843552222325,1.5930170335201903,5.236394168176481,3.637330781334397,2.0663817239573268,5.497937523209945,3.6340225931658794,7.631658305164834,7.684582300779457,1.8680102084953452,5.671280692316408,4.4591621908079375,10.76253646337276,8.643136459800276,1.2387148494071485,1.7531598272729458,1.3789786471097358,4.449957179504298,3.1723642139387493,2.0514538635804,4.85807606654092,3.0813616498868748,9.086341579062475,6.892580601058727,2.26817197598182,4.56411605278088,3.6259569055035863,10.596669183597704,7.976643205015906,1.3094669058817234,4.459828549440046,3.0611668928359794,2.961138192474987,8.130412058816747,6.949605665787756,3.740145686748952,9.872299996837294,7.9307225784102915,5.890172513341392,7.049173707843568,6.050970514242958,9.153018948536502,9.656586965748058,7.160184068495752,7.661691152175926,8.626424247049034,18.678354918840384,16.35673229274517,7.242650476389934,7.900974469459232,8.058800808055034,20.945700884327465,17.40575782648489,6.863097321759643,21.93653675773229,16.950169393592944,4.441768364122158,7.342328609672566,7.381565536973651,10.088608624655496,10.328598528306204,7.457852197567726,7.280623225774562,7.865150018473836,18.465481794051133,16.0263054202017,7.189785011971089,7.259545202322212,7.228458426555346,19.794863748073556,16.466236861200127,6.075688745958127,20.368515175869515,15.977255823540052,5.540707484322707,6.955899978884489,5.8764240526526335,9.471987899238206,9.75820322709327,6.72844031907959,7.69516823215117,8.404778993758828,19.319086536533547,16.29899726582621,7.362169745360835,8.002436823957645,8.15223361790712,21.22742161162424,17.064873094187984,7.1208200004215145,21.64631150697668,16.467155088843693
exp,True,False,2.9149792663303136,4.758075138965114,3.227302874704667,1.6809576668284192,3.1074610308254917,4.534003061571505,6.188968579327569,4.25102924519741,2.475394694518827,2.928256929309564,4.812756485915536,6.4811052298940846,4.366954732962876,2.576479257158025,2.8475595211518647,43.51501518286168,96.541172352548,34.453632461668455,3.5084929422518614,4.885630958821632,3.693352272831559,1.9777083817655845,3.5126380334944103,4.549025630073194,6.229833254036113,4.505538344255411,2.798702017791792,3.11974946248082,4.865797510299938,6.376753279263794,4.550012474126069,2.797314967873091,3.197853586881422,43.45476904976047,53.56218843446964,34.075709683989274,0.2713750048152758,0.4863221826693536,0.3620049613645086,0.4383441678157005,0.4129359014400179,0.4556104724128034,2.471467162857709,0.7486898617817823,2.4934136652656727,2.401147151142522,0.3064359864291244,2.682032499638144,1.1822847205228273,2.566368620620012,2.7843932041708266,0.2823297767076819,1.4265135311260433,0.6293017388615254,1.216574938831782,1.1171380283372132,0.237481332001774,3.5457937969900724,1.703124145782872,3.253103712683327,3.4935661733219847,0.0029706949189544,3.6382860679617512,2.2068500623521228,3.367683988987664,3.879391747785037,0.2540249735884745,0.7090158981816473,0.4176548546059948,0.5189338003874155,0.5427129350241474,0.3203463841551394,2.807514949534544,1.143198247266031,3.00965277366193,2.7061302310827897,0.1794782033105374,2.60883755556262,1.352785981481422,3.1362690081281954,3.1701485511519154,0.2161278230275745,0.4316986044568799,0.4524686659525368,1.044494007643673,2.8058181509267923,2.7295512681365204,1.4781105272058563,2.816659695442966,3.1301538197291685,0.3516443689116306,5.679272006303512,3.8824731341991225,2.2496975543166653,7.625754345614445,1.5096626659614876,5.505772251166282,7.188526572110974,18.37678138823857,16.283084841674704,6.21753619068197,5.1692384904224165,5.738389322298249,20.94517203799509,17.06772647604776,3.103384414042269,21.440354798215985,16.346978972702622,2.20292366150563,6.9028510605271,7.244513948367018,9.67561362486168,10.356728332523629,10.720445765706872,4.063052938699816,4.925741331196567,17.722991725552,16.104371048592622,23.32321107963658,2.3103140363375703,2.177436444064916,18.920410697469663,16.191771985096906,1.872607531847076,18.6885668283585,14.500347183741384,1.63123874775596,5.798079764075792,3.908027532792241,2.128133021547692,8.904844474499981,6.008162828012282,5.3588180895129245,6.90413592850202,18.83723120406809,16.22534981475574,7.14930961184988,4.480759256834189,5.538416230539603,21.027661757135903,16.453439355437045,3.046906035242096,21.09732252647743,15.575113239504065
log,True,False,2.647881032020207,4.775457578425824,3.0158901192137537,1.4955015695671996,2.894668565514246,4.309490002803409,6.44447349467395,4.171700699974657,2.266929709257066,2.8394565370977976,4.592554479508422,6.821909088411108,4.290859166103881,2.315068375857272,2.747402364551362,8.59390073654596,3.0946242031706337,3.3265872813417934,3.281801955588082,4.94033842351647,3.5310083295114048,1.748677839698533,3.3289772236224597,4.359464662410542,6.549002978705434,4.489029804886272,2.565287309953127,3.037727213418709,4.670920092211518,6.775008430655492,4.522981363591796,2.5247960786214128,3.101085424799588,11.157339022274892,3.556504418522263,6.127696476432476,0.5295028409579111,0.656812217558018,0.6308437536058803,1.967714570111402,1.1774560527464937,0.8290769177024145,2.618836373422278,1.1548057179864095,4.552106336606928,3.500142237129813,0.7528159247717434,2.832675080707792,1.6740999412614934,4.878281827238475,3.966606469694265,0.5615309685009964,1.5945794130899271,0.8886327891576856,2.6570534642804176,1.865027094990208,0.6753872206274718,3.711134592430706,2.136301175608774,5.151719526127423,4.54883155980585,0.4952616874833374,3.841161064886347,2.68456877472592,5.6288371771850185,5.043766259120165,0.5262935361005029,0.8833794990248242,0.678283414177173,1.9574773212038143,1.3296663642691156,0.7031833247998494,2.9745811198397725,1.5551953551577202,5.012407948464017,3.7474377813381214,0.6240388061275436,2.77044163269613,1.8329241964799317,5.389407542994232,4.313016631208039,0.4507750952838793,1.926972612149076,1.177456052746494,1.435969750058373,4.823834719655004,3.78192077332687,1.9519894567024696,5.076955487540233,4.242077789599485,3.6957238141146673,5.55425656911367,4.174963695759145,5.488104975593614,7.996956488619511,1.9234088012451176,4.740689134160684,6.062266197802076,18.26054480499757,17.140912942690665,0.5846700030649965,4.38920252490309,4.408766185288172,21.57614039214969,17.431727882083468,1.9341053737110931,21.31989563004458,15.478548537698758,3.5365546034952344,6.607347070747001,7.079242122008709,9.3190888283507,11.224964370762306,2.0986375604914387,3.81303425809992,4.126580776165946,17.07175570580735,16.967707861933775,0.1963197669560533,2.708508359564475,1.9616247498571664,17.571929328962096,15.539222736071874,0.6466570257083524,16.583968593980476,12.65135249085157,3.349313652600892,5.614763599442656,4.065035189176663,6.372829151853521,8.68335689435448,1.006731244926475,4.67699738745346,5.775197268713652,19.077741312965827,17.083177915771703,0.7001400569029275,3.917252052907283,4.297921964766621,21.792181559333017,16.112322757833795,2.0553484152161388,20.516553014045915,14.169247667813533
power,True,False,3.8832257294723194,5.878664716779493,4.43501531154575,1.9541750527332176,4.275858785415248,6.245955673766977,8.029040074173553,6.091672431670684,2.7601848582023143,3.631173328640158,6.865648216695456,8.639941702961027,6.496178182592115,3.42673031655299,3.562344302901983,266.7531904665366,4466.378884088651,805.8329055336346,4.564411443803958,6.0114975146290135,4.935393484274554,2.268517112991848,4.705605452395826,6.269506243736088,8.069481145744104,6.328985457381836,3.107908846111046,3.83772918126174,6.928573184073763,8.523483009925624,6.661927871301464,3.5372756444624303,3.9398006839437407,243.23986305857613,1520.931373506868,674.214101200798,0.1739260303631025,0.2872922246578142,0.222456167593474,0.3284022985075051,0.2598537421849839,0.2616632894664599,2.103156871247461,0.4957403962825457,2.212982520415087,2.118532520123545,0.0970777038472914,2.257993819178203,0.9102837107928536,2.2819245396506584,2.449749523128833,0.2334910592609176,1.2469276636954674,0.4996573357862597,1.1171951935539328,0.9849805068764202,0.0951278146044792,3.189325677614238,1.4640122320289786,2.9419308150627885,3.2125394188557257,0.1692609531167051,3.2284750688160755,1.9421278056664624,3.060945363820682,3.545466090216043,0.1647715695571042,0.5139508458901448,0.2789937016456014,0.3998985488424193,0.409646508158995,0.136352174612171,2.4449140328448102,0.895132376240541,2.7300681232376287,2.4146989711636064,0.0240754982770747,2.1930025557293384,1.0820176737197718,2.8296485851660127,2.81526205288005,0.0633846834293097,0.302509771802005,0.280773079035146,0.7877919488705698,2.514721766248739,2.4268217672164627,1.2022594144941312,2.4985780546640264,2.765898173605742,11.332409690832115,3.6047825204006463,0.0504965223683457,54.22120095084839,2.3417618138480627,25.92215696980417,1.420616130703501,3.900719509401384,18.255382625167112,16.88114661674297,48.77521554651368,0.1145240660292623,0.2327956704364741,21.474233839902222,17.38852740688697,5.939592371173741,21.31572704809844,15.165231353858683,2.495385807755805,6.20198618139183,7.031340016739569,8.863890968443227,10.695596749753216,83.96000839296869,2.0375016659017544,1.9248580942369424,16.851415647081748,16.689046806675215,167.743806618833,7.4047997170334625,10.41359035706898,16.563668808584943,15.310721355488932,22.718545719554992,13.230093543353307,9.648496104394544,18.398663938550374,4.034891885473427,0.4516043199422908,25.77961897704085,6.998439047868309,46.819661596198856,0.9340831002554996,3.463308805999109,19.057035986546044,16.82341158982401,54.684128040670345,1.8002462226683955,0.6982593798731855,21.64179663867557,16.062631593789163,6.814429571852938,20.40349554346837,13.080265964190788
mult,True,False,3.8832257294723194,5.878664716779493,4.43501531154575,1.9541750527332176,4.275858785415248,6.245955673766977,8.029040074173553,6.091672431670684,2.7601848582023143,3.631173328640158,6.865648216695456,8.639941702961027,6.496178182592115,3.42673031655299,3.562344302901983,266.7531904665366,4466.378884088651,805.8329055336346,4.564411443803958,6.0114975146290135,4.935393484274554,2.268517112991848,4.705605452395826,6.269506243736088,8.069481145744104,6.328985457381836,3.107908846111046,3.83772918126174,6.928573184073763,8.523483009925624,6.661927871301464,3.5372756444624303,3.9398006839437407,243.23986305857613,1520.931373506868,674.214101200798,0.1739260303631025,0.2872922246578142,0.222456167593474,0.3284022985075051,0.2598537421849839,0.2616632894664599,2.103156871247461,0.4957403962825457,2.212982520415087,2.118532520123545,0.0970777038472914,2.257993819178203,0.9102837107928536,2.2819245396506584,2.449749523128833,0.2334910592609176,1.2469276636954674,0.4996573357862597,1.1171951935539328,0.9849805068764202,0.0951278146044792,3.189325677614238,1.4640122320289786,2.9419308150627885,3.2125394188557257,0.1692609531167051,3.2284750688160755,1.9421278056664624,3.060945363820682,3.545466090216043,0.1647715695571042,0.5139508458901448,0.2789937016456014,0.3998985488424193,0.409646508158995,0.136352174612171,2.4449140328448102,0.895132376240541,2.7300681232376287,2.4146989711636064,0.0240754982770747,2.1930025557293384,1.0820176737197718,2.8296485851660127,2.81526205288005,0.0633846834293097,0.302509771802005,0.280773079035146,0.7877919488705698,2.514721766248739,2.4268217672164627,1.2022594144941312,2.4985780546640264,2.765898173605742,11.332409690832115,3.6047825204006463,0.0504965223683457,54.22120095084839,2.3417618138480627,25.92215696980417,1.420616130703501,3.900719509401384,18.255382625167112,16.88114661674297,48.77521554651368,0.1145240660292623,0.2327956704364741,21.474233839902222,17.38852740688697,5.939592371173741,21.31572704809844,15.165231353858683,2.495385807755805,6.20198618139183,7.031340016739569,8.863890968443227,10.695596749753216,83.96000839296869,2.0375016659017544,1.9248580942369424,16.851415647081748,16.689046806675215,167.743806618833,7.4047997170334625,10.41359035706898,16.563668808584943,15.310721355488932,22.718545719554992,13.230093543353307,9.648496104394544,18.398663938550374,4.034891885473427,0.4516043199422908,25.77961897704085,6.998439047868309,46.819661596198856,0.9340831002554996,3.463308805999109,19.057035986546044,16.82341158982401,54.684128040670345,1.8002462226683955,0.6982593798731855,21.64179663867557,16.062631593789163,6.814429571852938,20.40349554346837,13.080265964190788
hybrid_mult,True,False,4.0225096341348365,6.375733536374916,4.841562846029995,1.879749951346858,4.462596588928238,6.896398943612818,9.05960741629667,6.984485506825919,2.9015314891266377,3.784050282312476,7.745257422066996,9.891447637051543,7.579723926785449,3.830412937748101,3.764052319843541,129.01469428649065,696.4700513682359,423.8568448669197,4.825113259514943,6.535729582004504,5.419507691988581,2.226106559427752,4.988853907286891,6.965090050847411,9.136841420591292,7.274046951822105,3.322223856911607,4.072717333747427,7.8529259522440595,9.79650109355179,7.8010098399367935,4.017921095456867,4.224373883784566,146.9555792280062,696.9319315836193,518.906284651019,0.2084921875955757,0.2510685126109695,0.2310353207255214,0.6276658190387777,0.3828180173499702,0.2581477949743178,1.9733585033822036,0.4591931549467909,2.401650855982509,2.186656084745111,0.0916089996656456,2.09610649615829,0.8704483413294473,2.4942809659279908,2.4833875619236268,0.3072175715676674,1.2239715719578368,0.5141088595515556,1.416000331385374,1.1226728257059542,0.1370022017068098,3.069604273258813,1.4406886125691551,3.082799199460029,3.2775115802266725,0.1428525346870794,3.081339730668016,1.906108370459112,3.2448363158745046,3.578100148154313,0.2078762986715722,0.4811636410697648,0.2869201698456953,0.6740748134556072,0.5524915837276858,0.1411447738638829,2.321202181068509,0.8628205240056799,2.9138623406065784,2.4700999767260763,0.025614396655012,2.037743148951292,1.0418749962360014,3.0128851841232613,2.8297977234374025,0.0565986410979679,0.5727312059810437,0.3828180173499701,0.7468315293289093,2.688219038898938,2.47446421403716,1.1577909208258423,2.670510393486571,2.770562230440943,3.913384034920044,1.5543094125935983,1.6418740707251618,17.05218251803371,2.9591166016077075,30.354798375334276,6.650121030063554,3.3205565880033894,18.21200983038901,15.694430938371124,47.85904623398614,10.944061168270936,12.843798954335288,20.54555690431213,16.907064011316056,26.90592247553205,21.270888090410608,12.776015457198907,1.7549199804969433,5.390677465349488,6.8694286522390975,8.199167358809014,9.705271625686413,31.64152908071151,11.402376688485754,13.939881373802525,15.464099830115158,15.521241149745412,58.35134929995652,20.930472378578504,30.46837012367292,9.969407920406963,13.983794185519663,49.84741063694991,7.460367306224221,5.74452654340597,4.259794196433821,2.262287197058064,1.4118795724205588,9.63851676715174,6.455826103724585,36.501730225353306,7.378612605673486,4.054300134194178,18.782925072231247,15.636700919313515,47.74357618014827,13.653425326287026,14.71203647613014,20.516979780673385,15.709917298911684,28.192535393056623,19.36655220602101,6.005384356069159
am,True,True,1.9480049819424008,3.623276691245021,1.907346405792072,2.1140996060600776,2.545641912697977,2.943978269561016,4.6311197422999,2.627099858081403,3.7167590197646536,3.324607953042055,2.899322181107828,4.752410985471706,2.508785857947013,4.079344058774588,3.406529427437226,0.0672805325047792,10.509095140574663,7.72888046370446,2.392205416518517,3.7679652944559994,2.331343179381834,2.2595099080111094,2.833608129621758,2.9154536028362354,4.705933574068679,2.8327499955539017,3.7477266671579352,3.3027687598101667,2.8694844500800314,4.67137005427064,2.5742952755945705,4.081489304446119,3.3999862086218884,2.0029921774448187,10.047214925222963,5.986273499560874,0.9768723894993092,1.2419870466905467,1.177413351858113,3.413187571035922,2.3455265053931704,1.6691452240561924,3.615726568187767,2.168555731611571,7.293164057447004,5.538544347093724,1.735988137684917,3.984043553525932,2.8591823268366707,7.89074114300215,6.300657467093117,0.9297739302277944,2.1370407510449265,1.4057465407987435,4.009697923861164,2.9673935846759174,1.4738305208105655,4.702777996699321,3.1500511892339333,7.800287569270779,6.529698126343359,1.4482983536405556,5.024073879425528,3.836846111565458,8.641296492948666,7.353334204098748,0.970619754379652,1.4642829790396112,1.215034396892842,3.349905441360468,2.4758354959288558,1.5318993567434402,3.981964895600333,2.5648244337681465,7.69460860167894,5.736523711222264,1.5921432456627342,3.916552715227431,3.001604057687287,8.393428597340817,6.647067628606891,0.9907989498450448,3.38570683326557,2.3455265053931864,2.4414778936540644,7.548076135459346,5.812103519944153,3.124769949001784,8.114729587469926,6.559806752051495,5.240479621796231,6.566364700997137,5.481573715839643,8.02874618113164,9.144512426438196,5.838468361894335,6.825707340622599,7.934921895298144,18.37809977696903,16.354240602228387,5.589972748275422,6.9179969957091,7.107983783305114,20.97089992392904,17.07861446892065,5.595844111645614,21.441357409898718,16.4194394096167,4.180202856695885,7.095950996488093,7.265900696306319,9.8272170694866,10.56921812058008,6.118098709330745,6.307609612265696,6.883546108591003,17.77708553763613,16.1810355214715,5.382507251215394,6.0182540640652125,5.878136558748251,19.145554546380787,16.24544956241304,4.375156100617811,19.377589530662902,15.121191029641595,4.89406946028245,6.52217089010608,5.324980565683236,8.490030156584027,9.421071425809473,5.2871963645705,6.836480529864863,7.699871180029071,18.84263136902291,16.296505575309425,5.705442802112732,6.669175447655704,7.155917068548593,21.06589299746849,16.46543617099661,5.821708259885854,21.123861913320223,15.815806693711348
gm,True,True,1.9480049811575424,3.623276691325679,1.9073464057920728,2.1140996060600776,2.545641912697978,2.9439782695610166,4.631119742299181,2.627099857542352,3.7167590236246215,3.3246079518923435,2.899322181107828,4.752410983169647,2.508785857759519,4.0793440543463335,3.406529427437226,0.0672805325047751,10.509095140574663,7.72888046370446,2.3922054165185176,3.7679652961044505,2.3313431795841444,2.2595099080111094,2.833608129621758,2.915453602855696,4.705933573156411,2.8327499955539017,3.74772665841845,3.302768761445887,2.8694844503920947,4.671370054270639,2.5742952754115587,4.081489304446119,3.3999862131756178,2.002992177444983,10.047214925222963,5.986273499560874,0.9768723894993072,1.2419870466905467,1.1774133518584595,3.413187571035922,2.345526505393144,1.6691452240561924,3.6157265681876014,2.168555731611571,7.293164057447004,5.538544347093716,1.735988137684921,3.9840435535259298,2.8591823268366707,7.890741142973926,6.300657467093117,0.9297739302277984,2.137040751044935,1.405746540798729,4.009697923861164,2.9673935846758,1.4738305208105655,4.702777996699162,3.1500511892339373,7.800287569270766,6.529698126343359,1.4482983536405556,5.024073879425531,3.836846111565458,8.641296492948666,7.353334204098748,0.9706197543797236,1.464282979039603,1.2150343968925506,3.349905441360468,2.4758354959288558,1.5318993567434382,3.981964895621538,2.5648244337681465,7.69460860167894,5.736523711222261,1.5921432456627382,3.9165527152274286,3.001604057687295,8.393428597342162,6.647067628606891,0.9907989498449956,3.38570683326557,2.3455265053931864,2.4414778936540644,7.548076135459349,5.8121035199441575,3.124769949001784,8.114729587469926,6.559806752051498,5.240479621796231,6.566364700997137,5.481573715839643,8.02874618113164,9.144512426438196,5.838468361894335,6.825707340622857,7.934921895298144,18.37809977696903,16.354240602228387,5.589972748275422,6.917996995709567,7.107983783305114,20.97089992392904,17.07861446892065,5.595844111646636,21.441357409898718,16.4194394096167,4.180202856695885,7.095950996488091,7.265900696306319,9.8272170694866,10.56921812058008,6.118098709330745,6.307609612266371,6.883546108591003,17.77708553763613,16.1810355214715,5.382507251215394,6.018254064066013,5.878136558748251,19.145554546380787,16.24544956241304,4.375156100615904,19.377589530662902,15.121191029641595,4.89406946028245,6.52217089010608,5.324980565683236,8.490030156584027,9.421071425809473,5.2871963645705,6.836480529864601,7.699871180029071,18.84263136902291,16.296505575309425,5.705442802112732,6.669175447656204,7.155917068548593,21.06589299746849,16.46543617099661,5.821708259885854,21.123861913320223,15.815806693711348
