,mean,min,25%,50%,75%,max,pareto,rawlsian
linear,7.072818975750475,4.283727744076717,4.486760695446395,5.517708391376967,8.484266490332587,14.385185760021123,False,False
poly2,6.486932487033337,3.89863225056747,4.293761834934088,4.655305597516509,7.541500738348898,13.681077952173888,False,False
poly3,6.162556274378855,3.507390288231484,4.0308635507969015,4.315005405807272,7.35466586141525,13.031631190113208,True,True
exp,6.781073525721065,3.80254125499344,4.5182414945817335,4.953487663164256,7.832778262529528,13.68168797424902,False,False
log,7.141145269824339,3.694680689657457,4.5094418355279124,4.822752073288956,8.523769228074865,14.80057778088691,False,False
power,7.2505608458151265,3.3742630979176385,4.473812792790618,6.032823547753606,8.507889577919206,14.001798561807076,True,False
mult,7.228555456435565,3.3475858162748064,4.360241162182806,6.032821015952795,8.509781532140005,14.001798561807076,True,False
hybrid_mult,8.068243256580809,3.5975081357322867,4.390657372813488,6.4566160863763375,9.889688174358668,15.95404869678453,False,False
am,8.614739876245501,4.401743628666295,6.776439571942657,9.143856554321127,10.277686964500173,14.385185760021123,False,False
gm,8.690760533173462,4.401743629060985,6.958415803839518,9.306587055198465,10.403256058545598,14.385185761676064,False,False
hm,8.757372612917335,4.401743628962438,6.990489032612917,9.537046969748516,10.542062692096767,14.385185760887866,False,False
