model,multi factor,multi variable,overall linear,sliced linear
linear,87.60%,29.40%,29.39%,100.00%
poly2,87.60%,29.40%,29.39%,100.00%
poly3,87.60%,29.40%,29.39%,100.00%
exp,87.60%,29.40%,29.39%,100.00%
log,87.60%,29.40%,29.39%,100.00%
power,87.60%,29.40%,29.39%,100.00%
hmult,87.60%,29.40%,29.39%,100.00%
