model,none,lang
linear,4.892660349246923,4.329083189723559
poly2,4.892110668378621,4.3003953825201275
poly3,4.895698765552583,4.242323552551847
exp,4.872123588446438,4.098000859636391
log,4.952939614798247,4.1636424683126725
power,6.626523851434532,5.49678706837322
mult,6.101601642386543,5.12467078558461
hmult,6.8814161213782326,5.871435953498425
am,13.23222462264577,12.773251891375256
gm,13.360559561589811,13.031329105633404
hm,13.31931609750977,12.9977409219484
diff,4.696544558939013,4.080835418778912
