language to,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
ka,13.551715602612994,11.676269240429082,-1.3840058064919134,0.03782367827416604,-38.070487034969396,-24.986480773205713,-13.413533015095522,4.111689733818918,4.176710265889192
gu,16.746409484479045,14.431586648956712,-1.7569150114402048,0.048395711246982255,-39.20240504442354,-27.59866638709658,-15.520909137702969,4.38283154295548,4.466088785181196
hi,30.12752877619372,0.7072813163319058,-0.025519279444809105,0.0003016145279103452,-44.01505632201799,-30.37371267951718,-16.642066308043397,3.1889649233373194,3.869874562171515
si,36.58403004807659,0.6284145889403183,-0.021993616155650028,0.0002650051816198535,-48.72134126548627,-34.00980996723208,-19.345238820970195,5.784909783423399,7.138670519481211
ta,19.759173286373706,2.2593706140304244,-0.09887765768243152,0.001213281742537877,-38.144995287647355,-25.84574828471189,-14.711134706779637,5.956431509058585,5.423639487328529
