test set,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
flores,ka,0.6300046518349284,0.5530611520249153,0.01734636434163293,-0.001094282336230644,4.536709749864448,5.215808731872997
flores,gu,2.6379713247917067,2.2864233268520797,-0.20399616374801355,0.005103906990131512,6.08339247057245,7.003717310328842
flores,hi,3.0703585823523314,0.8438965002080008,-0.03512688299397058,0.0004923978772032465,5.153132297709543,14.63308103378769
flores,si,0.215656395792162,0.8655546885651357,-0.03651651064827662,0.00048085535999322417,3.3824271434010313,7.215808541940708
flores,ta,0.16394272055470133,0.6784868765864074,-0.02819799031516294,0.0003816953308099315,2.474636013202984,4.518276298837914
bible,ka,3.4238164636667223,2.9671189599375376,-0.2720925818907963,0.006870756678865359,10.596114355572443,12.203355419598727
bible,gu,5.142013015732944,4.448112256603017,-0.47894390331888037,0.01277725827352561,9.995057558921289,11.526447380422836
bible,hi,8.75305039934264,0.8991134143360267,-0.02251133927023666,4.772482540910967e-05,11.241906856528253,46.237334915617495
bible,si,9.703486556626768,1.0498999870085708,-0.02722570618020234,5.8915056507062065e-05,14.536312709854892,53.13356058715259
bible,ta,7.301661553989027,0.8510906887044845,-0.01984508946102062,1.0856118078611519e-05,11.474606258632072,40.19352883786195
gov,ka,3.3071833527404255,2.872619653784409,-0.2099807544845396,0.004720948316922067,13.3538798908203,15.36991828191311
gov,gu,6.609887873043293,5.717784153533877,-0.620263642968571,0.016544628859729554,14.98422535735926,17.28287428783726
gov,hi,8.908200502760105,1.3172452379117308,-0.0586610933431529,0.000868442876316401,13.152707871357048,46.650435897634445
gov,si,9.013593284870524,1.9524156336270275,-0.08552813500383767,0.0012534747449394327,17.42703948889431,48.15279868876524
gov,ta,8.380813016835248,1.5180844434260845,-0.06844881890757476,0.0010210789630378406,14.486556310778777,44.59664882572397
