train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3",rmse,loo rmse
cc_align,25,gov,1,flores,28.162088730295224,60.283622010973794,57.66336111613648,45.14459215135777,-56.986109726123686,-62.603570861879696,-47.814291341233044,-8.426893560897057,-20.21886322986505,-19.940166322236177,-10.903346505501323,-21.121197747113378,-18.764388071799953,8.539909605907748e-08,1.655045377887595
cc_align,25,gov,1,bible,8.829444619246427,13.449616832132806,11.94575488516225,8.905431981846492,-20.482832810739936,-22.421324480599026,-17.302765978501935,0.9352786163275867,-2.954369454674914,-3.891455604683958,1.14621826282092,-3.5784834739240425,-5.8838113259934035,3.9299921078388625e-07,0.5595754103255063
cc_align,25,gov,1,gov,-2.1537430807553233,72.78103951830329,80.50528188683377,66.52151768529949,7.019345345039434,7.68282514285083,5.83592248574849,-21.250107879802506,-24.10517800959644,-20.503088073815952,-44.968510667477354,-28.09987912615892,3.053505012112121,9.77859202777421e-08,0.04602869488699643
cc_align,25,gov,10,flores,65.39563132927358,57.10126905690328,42.992679061743175,29.961618577543803,-119.7453828592784,-133.29869537696084,-102.15052606724818,4.397255981376448,-18.361146664086704,-21.526031395195634,27.158514888853187,-10.17056921918476,-35.86330831280579,2.617949608924141e-07,3.422219916478558
cc_align,25,gov,10,bible,2.1096460354165485,21.824270829558376,23.173798369461917,18.743890315306363,-1.1101351778724449,-1.6907098386739547,-1.5751003482854276,-3.8418626038697554,-5.546826151298186,-5.252593981557005,-15.010050128366252,-12.771548228888143,-4.959458523821089,3.789471423996086e-07,0.06434186850194167
cc_align,25,gov,10,gov,-0.09016332348837511,60.57335151660964,66.45765194757529,54.731544453476815,15.860952274120077,15.758654859272623,11.586314318048185,-22.887578896698155,-25.170330643169052,-20.762222475452376,-31.764911189420108,-14.89365529574719,12.463858639963291,2.2602153756871613e-07,0.22636351563468515
cc_align,25,gov,25,flores,72.22967403107945,51.48311809322228,34.7625064655858,22.593789033031758,-128.75078439728213,-143.8425370946556,-110.35813523907697,7.709612150568192,-16.68456176457264,-20.577955578323287,36.83913083687868,-6.010322688233836,-38.31913770168618,3.516370465812741e-07,3.6806617535013046
cc_align,25,gov,25,bible,3.4423390949016044,22.233944401644656,23.224627163042463,18.676912194112447,-4.163873973030481,-5.011917034505791,-4.10102859434177,-2.6485747633283245,-4.850420690925696,-4.894065782334096,-13.712737109698338,-12.543894352117709,-5.807363891348489,1.766932823672698e-07,0.14578097237065782
cc_align,25,gov,25,gov,1.8285919802825368,58.448246232865245,63.54444757484356,52.164602880409035,12.820172196758934,12.283213736152836,8.893591654823512,-21.878209054426573,-24.711477679778184,-20.548873837007747,-26.33550815629008,-10.67439291116296,14.290705518715583,7.27223755518152e-08,0.13703332267690552
cc_align,25,gov,50,flores,23.63511881486689,3.3394863397426167,-3.6170951367174347,-5.1806597903087495,7.987171923446562,1.9325392080074386,-0.2654631851536681,-5.0207391166218445,-9.0978256506023,-7.444162034079009,1.5004713810959027,-8.536532079233947,-12.20958975109796,4.542502195143171e-08,1.9615992746410311
cc_align,25,gov,50,bible,4.184229157221208,0.784587719244695,-0.5922224648317693,-1.0868209616725641,1.202249157657424,-0.08056382322908338,-0.6249221754084915,1.7129961744435807,0.6515463556619014,0.05460497583320718,-0.1411098990710726,-2.28896377294238,-3.217843323122027,1.9938990312320792e-09,0.417865341070665
cc_align,25,gov,50,gov,12.723163938510645,8.004416985268323,4.7879099086404455,2.665350365768466,5.895706932236129,2.457135293498998,0.729588814449341,-7.756125781846431,-10.962099040747558,-9.22843128728474,16.952909256991514,17.974277171489398,17.22568613632875,2.4908735333779232e-08,3.6322680261912916
cc_align,25,bible,1,flores,3.2180799762985064,18.234581280895995,18.892614944429223,15.111501605420495,-6.567144478338508,-7.350896114602276,-5.8337517052117,-2.992694005444822,-5.100209802997533,-5.019676634397936,-9.49601120884551,-8.862514181144993,-4.089338883576527,9.693875178671839e-08,0.19724355238081479
cc_align,25,bible,1,bible,-23.9634132778464,71.11588145668175,85.21651837494836,72.20340965261947,57.88211903004978,62.93959621200354,47.862716334791045,-34.74096067282632,-29.85699576033048,-22.365686074748808,-71.2259284782521,-37.03520476826586,13.15580379532116,2.627536670355608e-07,1.4069328816681608
cc_align,25,bible,1,gov,3.7573090253568107,13.534839338315534,13.561132191372723,10.656792646218152,-7.415740354572012,-8.35028359811615,-6.627170180399025,-2.442882821246686,-4.479106759679921,-4.440815025008769,-5.600452038943835,-6.035513237926659,-3.4524436727096863,4.975248952691912e-08,0.2155851315385501
cc_align,25,bible,10,flores,11.323472899322196,18.06602862032445,16.27558737778647,12.28332551359771,-22.496925246836366,-24.96689874326695,-19.3016870740404,0.47101709771514627,-4.218443829305876,-5.111855379710933,-0.6349203481037469,-6.127029313781315,-7.850201912493657,4.316704079291632e-07,0.6345309158047461
cc_align,25,bible,10,bible,-27.3840003541708,65.95809180513723,80.56913715689747,68.63843970217769,78.77967807939926,84.2539827706011,63.74112996786599,-38.381614139341515,-31.35674058010118,-22.584947061210368,-72.3927493203769,-33.6586860138405,20.259444283123038,4.1424289160513224e-07,1.9133258856418491
cc_align,25,bible,10,gov,7.837902715327662,22.032589863136735,21.684476069686564,17.04315077827047,-19.7214037401077,-21.368071056969093,-16.42153435569491,-2.1770400828365006,-6.183425167686028,-6.517657077726994,-5.188918874496721,-7.676686680850754,-5.935163556297809,2.45333088841918e-07,0.5492895185231944
cc_align,25,bible,25,flores,11.238328610457396,15.915353353738602,13.935381954060047,10.354325667364614,-21.60929842696699,-24.090899555006573,-18.662829730523,1.8669221922357648,-2.6841530474924262,-3.875795139976135,0.3000283947955912,-5.57922592065466,-8.041606490631226,3.3363099968242276e-07,0.6075915675714512
