model,multi factor,multi variable,overall linear,sliced linear
linear,67.46%,66.31%,66.64%,100.00%
poly2,67.11%,65.97%,66.30%,99.49%
poly3,67.31%,66.17%,66.50%,99.79%
exp,66.05%,64.92%,65.25%,97.91%
log,67.53%,66.38%,66.72%,100.11%
power,66.64%,65.51%,65.84%,98.80%
hmult,67.16%,66.02%,66.35%,99.56%
