train set,c0,c1,c2,rmse,kfold rmse
gov,6.918049276138548,4.698226716308987e-09,5.951686176087504,14.753336031004153,14.919435313938704
bible,6.999578413578005,-2.240558719885756e-08,6.229693355927435e-09,12.28372580434311,12.289983393584484
