model,mean,min,25%,50%,75%,max
linear,4.892621919491597,4.892621919491597,4.892621919491597,4.892621919491597,4.892621919491597,4.892621919491597
poly2,4.856454936321232,4.856454936321232,4.856454936321232,4.856454936321232,4.856454936321232,4.856454936321232
poly3,5.448555992870165,5.448555992870165,5.448555992870165,5.448555992870165,5.448555992870165,5.448555992870165
exp,4.872553804441175,4.872553804441175,4.872553804441175,4.872553804441175,4.872553804441175,4.872553804441175
log,4.953299262302126,4.953299262302126,4.953299262302126,4.953299262302126,4.953299262302126,4.953299262302126
power,6.810467971458982,6.810467971458982,6.810467971458982,6.810467971458982,6.810467971458982,6.810467971458982
mult,6.10123828075599,6.10123828075599,6.10123828075599,6.10123828075599,6.10123828075599,6.10123828075599
hmult,6.470918702693543,6.470918702693543,6.470918702693543,6.470918702693543,6.470918702693543,6.470918702693543
am,13.279723238520695,13.279723238520695,13.279723238520695,13.279723238520695,13.279723238520695,13.279723238520695
gm,13.358353702361246,13.358353702361246,13.358353702361246,13.358353702361246,13.358353702361246,13.358353702361246
hm,7.66109528648785,7.66109528648785,7.66109528648785,7.66109528648785,7.66109528648785,7.66109528648785
diff,4.891730543659053,4.891730543659053,4.891730543659053,4.891730543659053,4.891730543659053,4.891730543659053
