test set,language to,c0,c1,c2,rmse,kfold rmse
flores,ka,2.705510059814929,0.4895988737644919,-1.7444620044681545,4.535875512892224,4.967185266100345
flores,gu,5.054260613682959,0.07892433433534471,-0.4080426771885769,6.082557028097161,6.51371955054348
flores,hi,2.8820761203434824,0.0,-0.4467412051351039,5.41153144166273,5.677852225182712
flores,si,1.690454419151058,0.0,-0.4783510162053231,3.4401556430783384,3.608855036956861
flores,ta,0.9764520310496215,0.0,-0.5993269361940546,2.5901759754225666,2.748902753049813
bible,ka,6.510068602135023,0.08564118783911467,-0.3991717335348849,10.595635894086003,11.346036845644564
bible,gu,9.348155714552378,0.02478707791817441,-0.21092656131131574,9.99454017618717,10.714484157091972
bible,hi,1414.3426958047683,6.674579210713386,-2.422657569643012,12.169004531163777,12.68517390289557
bible,si,1490.212189194689,7.165661809269028,-2.3224760445929475,15.707536071092166,16.302624653029003
bible,ta,1829.7056135220453,6.59741259260224,-2.6402612962391507,12.409394916804134,12.89740601700751
gov,ka,8.62433149058523,0.42930606708786395,-0.9466586124459849,13.353495172929364,14.65751983194307
gov,gu,12.050055320607058,0.05706934676376046,-0.22572576051034698,14.98388022735442,16.029914938422873
gov,hi,7.5689449737294066,0.0,-0.3540990617504315,13.723033324933889,14.337873176501537
gov,si,7.111706232059909,0.0,-0.45402204672177515,18.14741966891858,18.942923205558966
gov,ta,6.545130533141833,0.0,-0.42058200615493097,15.160889219411192,15.829700665583966
