train set,train set size,train set jsd,test set,language from,language to,geographic,genetic,syntactic,phonological,inventory,featural,sp-BLEU
gov,10,0.3404868853,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,14.5
gov,10,0.520941588,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,3.0
gov,10,0.1471842026,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,32.4
gov,10,0.4086775824,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,9.2
gov,10,0.5893716743,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,0.9
gov,10,0.1047547461,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,41.7
gov,10,0.4017170656,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,7.1
gov,10,0.5862679524,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,0.8
gov,10,0.1047547461,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,34.8
gov,25,0.3343570052,flores,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,14.2
gov,25,0.5157717627,bible,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,1.7
gov,25,0.1431556172,gov,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,34.3
gov,25,0.3335072663,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,19.9
gov,25,0.5183596628,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,4.8
gov,25,0.1699216564,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,37.9
gov,25,0.3360772729,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,17.0
gov,25,0.5194551817,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,3.5
gov,25,0.1423219382,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,35.5
gov,25,0.4015966033,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,11.3
gov,25,0.586522217,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,1.2
gov,25,0.09733325817,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,47.0
gov,25,0.3965274658,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,9.0
gov,25,0.5831242241,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,1.3
gov,25,0.09733325817,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,38.2
gov,50,0.3349295165,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,19.0
gov,50,0.5193833641,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,3.4
gov,50,0.1423672441,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,36.7
gov,50,0.3989119558,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,12.3
gov,50,0.5858465013,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,1.5
gov,50,0.09518148614,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,49.5
gov,50,0.3933524284,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,11.3
gov,50,0.5825626895,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,1.6
gov,50,0.09518148614,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,40.8
bible,1,0.4848024265,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,2.0
bible,1,0.117220129,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,16.3
bible,1,0.5398374026,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,1.2
bible,10,0.4718502076,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,3.8
bible,10,0.09700942181,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,25.0
bible,10,0.5362167255,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,2.4
bible,25,0.4723009184,flores,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,2.2
bible,25,0.09179114967,bible,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,28.1
bible,25,0.5190528803,gov,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,1.0
bible,25,0.4723009184,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,4.2
bible,25,0.09179114967,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,28.5
bible,25,0.5365977886,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,2.9
bible,25,0.4723009184,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,2.8
bible,25,0.09179114967,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,32.3
bible,25,0.5230212782,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,1.8
bible,25,0.4621690423,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,1.9
bible,25,0.1226530963,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,38.5
bible,25,0.5617144003,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,0.9
bible,25,0.4723009184,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,2.0
bible,25,0.09179114967,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,31.4
bible,25,0.5695977832,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,0.8
bible,1,0.4848024265,flores,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,0.5
bible,1,0.117220129,bible,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,12.3
bible,1,0.5246111545,gov,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,0.3
bible,1,0.4848024265,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,1.5
bible,1,0.117220129,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,18.6
bible,1,0.5274890708,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,1.0
bible,1,0.4992116683,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,0.8
bible,1,0.1679884887,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,21.6
bible,1,0.5859953972,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,0.4
bible,1,0.4848024265,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,0.8
bible,1,0.117220129,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,16.3
bible,1,0.5758381128,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,0.3
bible,10,0.4718502076,flores,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,1.8
bible,10,0.09700942181,bible,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,24.0
bible,10,0.5189762099,gov,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,0.8
bible,10,0.4718502076,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,2.5
bible,10,0.09700942181,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,28.1
bible,10,0.5229877659,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,1.8
bible,10,0.4644031797,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,1.7
bible,10,0.1234147074,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,34.2
bible,10,0.5641070657,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,0.8
bible,10,0.4718502076,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,1.6
bible,10,0.09700942181,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,26.9
bible,10,0.5699895743,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,0.7
