Variable,Pearson Correlation Coefficient,P-value
train set size,0.2617421143829059,0.00887018522171531
train set jsd,-0.9117725139422314,2.871497763190107e-39
geographic,-0.01806762604060807,0.8591141291940235
genetic,-0.09611119838881722,0.34397402870055055
syntactic,0.0382974289488841,0.7066542972121211
phonological,0.004484651564744231,0.9648603801972255
inventory,0.020064440825679992,0.8437312542356884
featural,0.0442204762300684,0.6638434001138643
