model,pareto,rawlsian,ka,gu,hi,si,ta
linear,False,False,10.82821435357893,10.415111324331466,11.201479752136148,15.424941389061416,12.316806420438846
poly2,False,False,10.75039189713539,10.334439938169313,11.172524831215634,15.382388055933326,12.276979991081182
poly3,True,True,10.748229987866049,10.338961043431054,11.110574785874796,15.317146457223256,12.23080730202872
exp,False,False,10.855720392882366,10.440844795116606,11.236560177501987,15.467976248168377,12.358963177162773
log,True,False,10.741145522213412,10.31607329843498,11.158882077601604,15.347780179738162,12.259712848046991
power,True,False,10.756418316305698,10.330278875459138,11.138547713904092,15.33834740734156,12.244424791770731
mult,True,False,10.752035873207069,10.322356362142068,11.141609762758236,15.335891146852864,12.244823630149986
hybrid_mult,False,False,10.78610896408044,10.372974792396915,11.155007420819752,15.37221426427219,12.265885350503012
am,False,False,11.152330938793764,10.842962390072422,11.726020843035862,15.946489849775022,12.796051112199684
gm,False,False,11.014291656974033,10.72603335787903,11.58857851467854,15.809958908708095,12.657480489472288
hm,False,False,10.964945895971832,10.667958902725582,11.55658044297816,15.77935182482708,12.628324645988702
