model,pareto,rawlsian,ka,gu,hi,si,ta
linear,False,False,10.831250439674566,10.419346209922669,11.20250114519713,15.426094964851174,12.316658146577888
poly2,False,False,10.753398608169194,10.315379774851024,11.172059593049992,15.38105801410494,12.275315933728232
poly3,True,True,10.75339860787241,10.315379774463503,11.11840978642566,15.318880099651365,12.232265320329612
exp,False,False,10.857550265633035,10.446100529787854,11.23784305889411,15.469790740705465,12.358940483252097
log,False,False,10.75410043351472,10.317499834417072,11.160852665830848,15.349715277845908,12.260062119035076
power,False,False,10.760416579048211,10.324512034878737,11.143837785857238,15.338874799780584,12.245391899737893
mult,False,False,10.760416579048211,10.324512034878737,11.143837785857238,15.338874799780584,12.245391899737893
hybrid_mult,False,False,10.792805966485307,10.37277655821953,11.155127705429113,15.37271262302882,12.265535887280684
am,False,False,10.831250439674566,10.419346209922669,11.20250114519713,15.426094964851174,12.316658146577888
gm,False,False,10.831250439659112,10.419346211968008,11.20250114608132,15.426094965453998,12.316658146679032
hm,False,False,10.831250439674566,10.419346209922669,11.20250114519713,15.426094964851174,12.316658146577888
