train set,train set size,test set,c0,c1,c2,rmse,kfold rmse
gov,1,flores,6.955515192693076e-07,-23.84888518965468,4.360953531437928,1.7128230113030687,1.7155270317597475
gov,1,bible,9.905831913635459e-15,-49.274218413998064,9.999724232035382,0.4841573955130292,0.48460396868644756
gov,1,gov,11.431741613242261,-1.3782681792314764,1.2571277903376794,3.376404643596393,3.3804932569107713
gov,10,flores,6.018214233002205e-05,-18.20835505156322,2.8024922614294496,1.1409307413500325,1.1475192787774748
gov,10,bible,1.2930365254330017e-14,-48.616860782293884,7.550277576805276,0.6197907433477157,0.6258321913525902
gov,10,gov,37.263300558325525,-0.5310701087556634,1.1808334854766707,1.7044605482946347,1.7456629334971072
gov,25,flores,0.00013750688174032525,-17.33171384679233,2.791743136777555,1.3266278359957453,1.3397010181952784
gov,25,bible,3.8290205510411467e-13,-44.18532186674066,7.3383904813522145,0.8178651478978068,0.8215389110305845
gov,25,gov,32.89008701870091,-0.9491342361325882,1.3749392851184796,1.9026933621801612,1.9590944196124562
gov,50,flores,0.028425837406381632,-8.90134598152468,0.4665662658114665,1.2560739669470201e-14,4.699798436761765e-15
gov,50,bible,0.004045924837225296,-8.124724079406485,-1.083641161165391,6.903647322763728e-16,4.2460285685259514e-15
gov,50,gov,6.650438329773644,-3.561090988394896,1.881524018440606,1.479112654199449e-14,1.2306961192854808e-14
bible,1,flores,9.970942224070045e-10,-32.078497575998604,6.587175288588589,0.4220636546124493,0.43777995949334886
bible,1,bible,30.967170524855614,0.3459553483730722,0.9179903220101544,2.4456293980806643,3.0510749619569517
bible,1,gov,5.179701910054146e-13,-41.90209343395083,7.195137446784305,0.24971896101809796,0.2509414101294326
bible,10,flores,1.8947188624389005e-08,-28.799089307454118,6.156257587982114,0.4874497108575526,0.5438967436407903
bible,10,bible,88.93306520117359,1.3163061427622507,0.5850630958669609,2.6411104543127206,3.4063902833339594
bible,10,gov,3.4127490577751894e-12,-40.44468472303689,7.448258519203242,0.40877696614167475,0.41205075405345726
bible,25,flores,3.169428978218522e-06,-20.942896198271594,4.23503151157906,0.5465323310413345,0.5686425665809267
bible,25,bible,76.27076735224671,0.8996297544331793,0.5777482448226106,2.8802911250679974,2.9805000713441534
bible,25,gov,4.533054515414105e-13,-44.02399936538876,8.727784725665567,0.44860617860069063,0.4505162247546852
