test set,language to,c0,c1,rmse,kfold rmse
flores,ka,2.052595143222081,0.44822048334033715,4.601901157942715,5.003664256103167
flores,gu,5.079452943998146,0.2766803687289972,6.09604688613478,6.498556465484185
flores,hi,2.793895180568924,0.45588052751269204,5.411893695295773,5.6248850248221895
flores,si,1.6210051698252916,0.4905423720128949,3.4405660385776384,3.5662073334833617
flores,ta,0.936253211460416,0.6112862033426728,2.5904429237274655,2.708780495664578
bible,ka,6.540447469655533,0.264192468637061,10.60761237022669,11.31936751896833
bible,gu,9.283430405191728,0.184738737006127,9.996506143525723,10.63067602697145
bible,hi,11.757532984743117,0.03893459574923084,12.273547759201326,12.703397708822777
bible,si,13.31686353017952,0.02204589935058212,15.797493961486472,16.322155059865448
bible,ta,10.252193757562258,0.039921621044218356,12.505678352950401,12.918148090402797
gov,ka,6.9793293692347715,0.3039558290353281,13.4083888732632,14.651598585834341
gov,gu,11.988552388468388,0.17026021431774993,14.988693216681883,15.930465258378655
gov,hi,7.442857322583196,0.35916954388981326,13.723253235645796,14.277644164583497
gov,si,7.009955926565416,0.45828478058789823,18.147553549290038,18.82737109460297
gov,ta,6.431809144696965,0.425787989197618,15.161066886286239,15.751040921104416
