train set 1,train set 1 size,train set 2 size,language to,c0,c1,rmse,loo rmse
cc_align,25,1,ka,0.44684323791357405,-1.3262355343835202,3.981956867441407,4.022509387730941
cc_align,25,1,gu,3.875676862434456,-1.3194732803529179,6.271258432904503,6.375730636452963
cc_align,25,1,hi,2.244107007811901,-1.4063092408881006,4.77520761745179,4.841565936916257
cc_align,25,1,si,-1.0279843952853671,-1.8218870909922251,1.8620523843170418,1.8797499513545814
cc_align,25,1,ta,0.435752859374651,-1.4356001526792537,4.4268243582534375,4.462596625675968
cc_align,25,10,ka,2.927323200587577,-1.4170611555744923,6.781288722394461,6.896398511181512
cc_align,25,10,gu,7.398257338146059,-1.347499574879146,8.905211130818284,9.059615396119852
cc_align,25,10,hi,4.719737766953324,-1.4441849527757655,6.850804331420715,6.984485017072714
cc_align,25,10,si,0.8600403269308929,-1.6594589806330127,2.847077525127735,2.9015314741382854
cc_align,25,10,ta,1.1026371836017397,-1.4772844772883802,3.730397214420011,3.7840502836886785
cc_align,25,25,ka,3.8929986299535515,-1.435718912901444,7.612861887315465,7.745257023913802
cc_align,25,25,gu,8.558178155312655,-1.3629599763584983,9.721159500139418,9.891458354634407
cc_align,25,25,hi,5.440425299042957,-1.4564496867788184,7.436276000131386,7.579723851061801
cc_align,25,25,si,1.6032678131513196,-1.6590925154309715,3.7652323278487505,3.8304129708013654
cc_align,25,25,ta,1.7291821329746784,-1.4831898356569,3.698352128802167,3.7640523190809434
cc_align,25,50,hi,6.7230786677357735,-1.7614887621806607,5.163711676687595,129.01469428649065
cc_align,25,50,si,4.622643331349445,-1.6241337612141913,3.7301504001444465,696.4700513682367
cc_align,25,50,ta,4.920043679545119,-1.527154845496858,3.0731363140545307,423.85684486691224
cc_align,100,1,ka,1.2695651799114904,-1.3502116770774824,4.768282332647018,4.825113807797897
cc_align,100,1,gu,4.314061711396156,-1.3153541351335833,6.432420833144398,6.5357329487578815
cc_align,100,1,hi,2.900538347315563,-1.412959157315435,5.34122298159317,5.419510379707028
cc_align,100,1,si,-0.695134961384219,-1.8408566977658012,2.201531386416141,2.2261065671590865
cc_align,100,1,ta,1.022903756570659,-1.4431582568844816,4.944020044067627,4.988854406512315
cc_align,100,10,ka,3.309928780734146,-1.4171033514360158,6.847113272066985,6.965089245804952
cc_align,100,10,gu,8.084322157148288,-1.34241228775777,8.975117835078589,9.136842649433234
cc_align,100,10,hi,5.384229853906718,-1.4387662730659692,7.132662432086764,7.274041716317261
cc_align,100,10,si,1.7377711883429796,-1.6567422346815828,3.2499720354472332,3.3222238434703537
cc_align,100,10,ta,2.086869892742243,-1.4730811287754706,4.009992503216166,4.072717226852874
cc_align,100,25,ka,4.242512560706143,-1.4374618613963086,7.709926033282289,7.852931119281325
cc_align,100,25,gu,9.094094495472497,-1.356208363183248,9.62309840404924,9.79650111005596
cc_align,100,25,hi,6.076200293007933,-1.4555065897860395,7.639047312119891,7.801007811961595
cc_align,100,25,si,2.355830981599796,-1.657421378270248,3.932261937368325,4.017921037885773
cc_align,100,25,ta,2.871015685714292,-1.4749091579307936,4.1495111107169045,4.2243737733887645
cc_align,100,50,hi,8.204374837221538,-1.7359958166685883,5.712030600153481,146.9555792280062
cc_align,100,50,si,5.842457371877047,-1.6164347956793683,3.7389811912657485,696.9319315836345
cc_align,100,50,ta,6.196422476784639,-1.5133581753249705,3.4555430296414356,518.9062846510184
gov,25,1,ka,-0.7296334586803115,-1.3251368947925903,0.14663678932502208,0.20849218759557625
gov,25,1,gu,1.1648520729936422,-1.294296834780373,0.17622572625736277,0.2510685126109698
gov,25,1,hi,-0.013297847170362177,-1.3786864334531765,0.1624931454140249,0.23103532072552094
gov,25,1,si,-1.9449310706614926,-1.7983998554588012,0.4383695121137029,0.6276658190387777
gov,25,1,ta,-1.039393585615363,-1.356853009709805,0.26791879332109453,0.38281801734996984
gov,25,10,ka,0.31253544455660576,-1.3760529331243154,0.18172925949769764,0.2581477949743175
gov,25,10,gu,4.890311491612087,-1.281682173684899,1.3864442376894168,1.9733585033822039
gov,25,10,hi,1.2049625331155756,-1.4141851012699076,0.32323454814132174,0.4591931549467912
gov,25,10,si,0.6315715003416924,-1.6872988313880262,1.6824195026359259,2.401650855982509
gov,25,10,ta,1.2487969394832588,-1.3919498858431374,1.5343024651349626,2.1866560847451106
gov,25,25,ka,0.20294666091884403,-1.4084513477654101,0.06453180816818943,0.09160899966564538
gov,25,25,gu,5.747730807505852,-1.3079784372875927,1.473903665045495,2.0961064961582885
gov,25,25,hi,1.610747578606093,-1.4389993324844488,0.6131173876940039,0.8704483413294469
gov,25,25,si,0.574935630277281,-1.7244782238825838,1.747973638617583,2.4942809659279908
gov,25,25,ta,1.8613668456587067,-1.414399305416732,1.7443430800166653,2.483387561923627
