train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.445527246212396,4.391345375663802e-05,-4.7447313422411885e-12,8.759366975147584,9.027223609635358
1,gov,7.357053748457492,-3.615902102143918e-10,0.06823993477569484,9.944651385570248,9.748878390185078
10,flores,4.500906271519212,-3.044421869980007e-10,-0.013969423821966176,5.973724423710126,5.696171226605591
10,bible,11.70980358891134,0.9243771583042976,-3.977227066361408e-09,13.349768139814238,13.572057558556699
10,gov,14.86003239127601,9.324723191313074e-09,9.132353617900451e-05,17.24025891504743,16.956786727911737
25,flores,6.116462574075598,9.398106360810492e-07,-2.511845469261833e-09,6.88257908428461,6.716146798991804
25,bible,14.684673579240146,5.4781542525460006e-09,2.6970548460661504e-08,15.099990769303693,15.451072482317272
25,gov,17.314592575010675,-9.143853588368457e-10,0.0003197654225458009,19.018957140431123,18.826527831033403
50,flores,11.696355897463148,-6.733440143838975e-10,6.643201112512586e-06,4.237320999461848,3.6810903809391102
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.84983111618071,0.00021873068959088124,-6.038186310596198e-10,5.886378244544117,5.706173820547116
