train set 1,train set 1 size,train set 2,test set,language to,c0,"c1,1","c1,2",rmse,kfold rmse
cc_align,25,gov,flores,ka,4.249074074074074,1.1804629629629628,-0.029537037037037035,2.2932668186396043e-15,27.59682295448136
cc_align,25,gov,flores,gu,9.140740740740743,1.2929629629629629,-0.03370370370370371,3.076740298213702e-15,72.2322398900732
cc_align,25,gov,flores,hi,9.688733011640823,0.5371297474899918,-0.006617510940108626,1.151006603796832,13.344444444444443
cc_align,25,gov,flores,si,6.50338272713666,0.39409111319753376,-0.005054360397871838,0.7417811085251851,8.599999999999998
cc_align,25,gov,flores,ta,4.658548517521795,0.363279124220818,-0.0040223802638162,0.7735671637785252,8.968518518518522
cc_align,25,gov,bible,ka,0.4351851851851818,0.1690740740740741,-0.004259259259259264,4.459357425957953e-15,2.3291663361582424
cc_align,25,gov,bible,gu,2.4175925925925865,0.18620370370370376,-0.0037962962962963132,1.0281408527026615e-14,20.713351034937332
cc_align,25,gov,bible,hi,1.535533602754085,0.17186859615463085,-0.0025179273652555993,0.38175212088182464,4.425925925925941
cc_align,25,gov,bible,si,0.753994536745999,0.07762669918765548,-0.0008654291001619198,0.16372214389283266,1.8981481481481577
cc_align,25,gov,bible,ta,0.8524977548271261,0.15507230477201267,-0.00206020124913254,0.2573232915232717,2.9833333333333445
cc_align,25,gov,gov,ka,15.616666666666669,2.035,-0.051666666666666666,2.0511601988091347e-15,125.20386787520005
cc_align,25,gov,gov,gu,22.744444444444444,1.5944444444444443,-0.03888888888888888,2.0511601988091347e-15,196.48633759407542
cc_align,25,gov,gov,hi,22.099328339877005,0.9094531456139381,-0.01230944943004806,1.7485524967754538,20.272222222222243
cc_align,25,gov,gov,si,26.698888536483977,1.3299954255694522,-0.01741325501695578,2.5186056242948163,29.200000000000006
cc_align,25,gov,gov,ta,22.881163020138935,1.0327734000522324,-0.013497571124697986,1.8787315672853622,21.781481481481453
cc_align,25,bible,flores,ka,0.7166666666666623,0.1883333333333334,-0.00500000000000001,6.254475347121973e-15,4.765480353734838
cc_align,25,bible,flores,gu,2.427777777777774,0.2794444444444447,-0.007222222222222246,7.742959950613002e-15,19.84524499079004
cc_align,25,bible,flores,hi,2.145370370370363,0.15898148148148167,-0.004351851851851872,1.0786889427453089e-14,18.44452068313021
cc_align,25,bible,flores,si,1.0740740740740682,0.12962962962962968,-0.0037037037037037134,8.024386044344146e-15,8.717469034919517
