train set 1 size,train set 2,train set 2 size,language to,c0,c1,rmse,kfold rmse
25,gov,1,ka,13.388733892422257,0.5190158133675637,6.835558299484364,7.182821446776122
25,gov,1,gu,18.32778611768314,0.3763089056544254,7.911922779011208,8.284899554213961
25,gov,1,hi,20.891638610184536,0.691763546425494,7.038271106497274,7.3808520583547175
25,gov,1,si,17.73635770494083,0.55370272466072,9.993436250207994,10.505885245507931
25,gov,1,ta,107.94720217720729,3.1377743501828683,8.026771077480461,8.973950286211858
25,gov,10,ka,23.31704771673553,0.4371214435168224,10.737629383122597,11.173655487552391
25,gov,10,gu,26.310760190831548,0.2720960066921652,10.793670740472617,11.253112870211332
25,gov,10,hi,27.985380053885265,0.4142467117854984,10.099306711140857,10.611809594580594
25,gov,10,si,26.11914169793244,0.31085319756542973,16.007744909301945,16.9472970747455
25,gov,10,ta,118.07199747640483,2.525588649847321,12.291918421983956,13.393306728221026
25,gov,25,ka,26.84061418810942,0.46757707787851216,11.890069999821424,12.368808355680946
25,gov,25,gu,29.313763521146182,0.28681542043299935,11.700784897405548,12.186414979990447
25,gov,25,hi,30.868818750997036,0.42394187933701666,10.793571878021874,11.31034788286563
25,gov,25,si,28.698978989179693,0.28114921431484885,17.700248501744227,18.763777799631818
25,gov,25,ta,119.47203037546265,2.3643241175739647,13.463781258509853,14.599402625453187
25,gov,50,hi,33.303800412502234,0.4396407984789642,11.150171772227367,11.641201822642499
25,gov,50,si,31.062169875534593,0.2977591908723408,18.74209968314152,19.83467404198558
25,gov,50,ta,44.37699225749699,0.882825512657703,14.096523540067242,15.142953350217885
25,bible,1,ka,273.8847836722909,5.360519442131435,4.404528289654633,4.404530660703804
25,bible,1,gu,500.96205818262194,5.44724783951412,2.6848465798499923,2.6850430294930216
25,bible,1,hi,554.319900667579,4.987718567826716,4.245436763507347,4.245468727869068
25,bible,1,si,638.9673924299433,6.02065140505891,2.952566264633637,2.9525662737338885
25,bible,1,ta,153.33459018612305,3.8757678111158524,4.743361957624593,4.743365056243405
25,bible,10,ka,515.7765510467066,5.610604597255051,6.5961419355126685,6.596144276301797
25,bible,10,gu,533.882429183434,4.94644200389464,4.738463733740816,4.740068417266016
25,bible,10,hi,841.9267038842054,5.03489369475663,6.318402088328776,6.318450843091263
25,bible,10,si,921.0808670164503,5.924619828243171,4.722558144769,4.722558266621963
25,bible,10,ta,234.57676698394275,3.842000176687942,7.4892239017542455,7.489253722995163
25,bible,25,ka,631.5234125513633,5.687566939644723,7.543600434671104,7.543602026319696
25,bible,25,gu,639.1970899893661,5.011353764642811,5.334310256265156,5.335887175646185
25,bible,25,hi,999.9999999999951,5.085991475683173,7.2078640134391865,7.2078666859238645
25,bible,25,si,996.5331380159303,5.896340261718664,5.384179215509515,5.384179312440185
25,bible,25,ta,268.1651688607029,3.823501188624181,8.550759378026575,8.550798612696665
100,gov,1,ka,1.2056282690161757,-2.491583897112808,6.964125311933177,9.083179322394999
100,gov,1,gu,3.5585389880103917,-1.5664441577204207,8.272397408962188,10.554891123639601
100,gov,1,hi,1.3755912061067157,-2.3560091127053484,7.798050063418018,10.185382086668938
100,gov,1,si,0.00035388179899434265,-10.216324459726032,0.45413111687684105,7.0278816946718345
100,gov,1,ta,0.809012863685467,-2.6409384078438234,8.982258471309665,11.547555345301433
100,gov,10,ka,1.6949645911802977,-2.679604460827095,9.837868676439754,12.935566998196357
100,gov,10,gu,4.394970550185352,-1.8206315151629604,10.71121609241107,13.865206176805227
100,gov,10,hi,2.075457500247108,-2.3733684371514703,10.20342703706362,13.17361511450987
100,gov,10,si,0.0017426975427824417,-9.17018904234514,1.2531988612298908,11.502571858194024
100,gov,10,ta,1.4833143589835325,-2.507380843383851,12.254537079113557,15.630372877496187
100,gov,25,ka,1.861002061984058,-2.712597161690711,10.650439784463135,14.003708314057596
100,gov,25,gu,4.8411045291794785,-1.797955299728003,11.678651250769764,15.091864755334562
100,gov,25,hi,2.201360663987186,-2.399854143868822,10.878140332782518,14.057431700764747
100,gov,25,si,0.0015110333922706762,-9.392403790324119,1.368613353242179,13.106489909210776
100,gov,25,ta,1.6624185847165016,-2.5098286275176065,13.17346744291169,16.798805667544613
100,gov,50,hi,2.033934232785252,-2.5564770239128647,10.657888223654608,13.875408406167011
100,gov,50,si,0.001917668023524998,-9.233203093996684,1.7897625795822762,14.689392537726931
100,gov,50,ta,1.648607709006776,-2.589596096333602,13.390125518889821,17.099971484464586
100,bible,1,ka,999.9999999999537,7.018933340804014,0.792553135890396,0.8088792693334986
100,bible,1,gu,999.9999999999994,6.745725219449867,1.2351289126982388,2.128206270583702
100,bible,1,hi,999.9999999999908,5.484779546911389,2.609744821518058,2.8039332290792305
100,bible,1,si,999.999999999997,5.984036467480069,1.0316478803000284,1.0321816324895203
100,bible,1,ta,999.99999999993,5.471085614500347,2.035364352313938,2.1122365851099283
100,bible,10,ka,999.9999999999999,6.279970654388099,1.8422658669882301,1.8992070494703788
100,bible,10,gu,999.9999999999999,6.1032008575899175,1.9873578580282936,3.2626314205729483
100,bible,10,hi,999.9999999999999,5.0306801222691835,4.295553399008317,4.656025185173537
100,bible,10,si,999.9999999999999,5.374325499538319,1.8367594667252278,1.8380170892220908
