model,pareto,rawlsian,1k,10k,25k,50k
linear,True,False,8.125330439068684,13.55706523115962,15.18107617432942,17.36819619436629
poly2,True,False,8.1258315635468,13.556905059538453,15.182254867735685,17.3690812098329
poly3,True,True,8.125360705106537,13.55703579998865,15.181216637345964,17.366692409226488
exp,False,False,8.126473120940673,13.56418874958359,15.188717227481566,17.408951646735414
log,True,False,8.12485147106033,13.55669971936558,15.181309911774925,17.37688353891921
power,False,False,8.131276301866077,13.565994089459725,15.191387096797808,17.46791428267208
hmult,False,False,8.135442637855899,13.567737978884304,15.191555578074215,17.449776877331296
