train set,train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3","c5,1","c5,2","c5,3","c6,1","c6,2","c6,3",rmse,kfold rmse
gov,1,flores,11.618901322070922,-2.3701496070905418e-09,-0.0005289036522610692,-5.896584405938319e-05,-0.0011536608252559963,-0.0009189612037605895,0.0006911434501061279,2.7286089468508057,0.002759168197149775,-4.092572215638995e-05,-0.00040896083787472066,-0.26395670218176964,-1.5936499557401071,-1.807722272496589e-05,-0.00957144891824244,-9.121737413316726,-0.0038154964781036307,-0.002817006147393808,-9.201805785256029e-05,1.2514869467303475,1.6884403517971758
gov,1,bible,0.4372521999265126,0.0914655902455997,2.1067990506421212e-07,1.1591525163476231e-06,6.731571986091031e-07,-4.6442338890657056e-07,-2.3214784592666166e-07,0.23348762445582258,0.0052831492778203796,1.1216666770383373e-05,3.436444228669124e-06,-5.327215744671797e-07,5.037720196509032e-07,0.17549204236251031,2.9982594588039615e-08,-7.442497815419404e-07,-1.0532269884575623e-07,-3.3140761782425283e-06,1.0986230963446185e-07,0.7899139906213294,0.8013268950576377
gov,1,gov,16.86100568667053,9.786773371305102,2.460281971828802,0.021685887757019778,1.93269454669901e-05,4.193032589425328e-06,1.8419020622112305e-06,10.824602924668506,1.9783476964331361,5.187445494967968e-06,4.808878544329217,0.0010834199085024635,8.490154389519264e-06,1.080640137074392e-05,-1.4122960903696162e-06,-15.020346524817544,3.347352440747397e-05,1.0458077503822103e-05,4.896178088694103e-07,1.3638217050876746,2.1144761362523705
gov,10,flores,26.118608490698183,4.0653456133794556e-07,-1.7164023020952695e-07,1.856127936742892e-07,-1.908894902153488e-08,2.5850211660151816e-07,1.636292404110949e-07,0.09264431308442589,4.628846437150305e-05,2.5479569063887973e-05,1.3914524865614988e-07,-3.627615099854825,-11.645418566697547,1.9934956120002094e-07,-0.00011533469729814268,-10.534502306685063,-0.24308058398171617,-0.026369944776522207,-8.904703360440554e-08,2.0572477112133516,2.8558453944585382
gov,10,bible,1.9254410280825678,3.9495443010332074e-09,1.1825308371457524e-09,-1.9445791435217725e-07,1.1407552957204686e-07,-1.035838311358526e-08,5.32164553795597e-08,0.14045481457497888,2.5712905828930024e-07,-7.433748780107816e-08,-2.3794361260289883e-08,-0.00023626995183510409,-0.00036868648791142433,1.044120132577414e-08,4.188769178167621e-08,-0.0001517417932601768,5.4655790969467605e-08,-1.3069028432362039e-09,-6.609216437213043e-08,1.2556586104392553,1.2569617283482213
gov,10,gov,19.125326101552417,0.0012818774959692664,1.78098335481344e-08,-0.0003945766886456642,0.0006914586831442527,-0.00011323307514712042,-0.0002558446931564175,-0.00033243365958777836,-0.009262633907615572,-0.00012504751061721348,15.706343766686965,12.701811340431039,9.279692131105165,9.19708858050534e-05,-1.1703570952358033e-06,-4.815618347538046,-1.2854308864152112e-09,-0.00025457785978744174,-5.670336758417091e-05,1.1774136028712985,2.0075414830982288
gov,25,flores,31.17377691111555,-3.5129553377109144e-07,-4.130013967697947e-06,6.512718096609282e-07,7.865743336484196e-07,-3.136144136854028e-07,6.131570897845712e-07,0.6783619524590413,0.22169690891208385,5.920966681554666e-05,-3.175079878695468e-06,-3.4665648510246507,-14.33825304761828,-7.787592837200781e-07,-1.2313342065994875e-06,-11.831462961182373,-2.6003530425467156,-0.9866157142458226,-1.941867153503253e-05,2.2665808247273365,3.2583682619579273
gov,25,bible,2.5122469877035,3.2549879183023677e-07,6.215999945299211e-07,-5.281694231096517e-07,3.414976448570171e-07,1.1683827946040037e-07,1.4333713787830136e-08,0.8576276999977807,0.001599313068545875,1.047072012954823e-05,-4.623362819644102e-08,-0.005533104119052183,-0.13957263990016514,6.990091478657406e-07,-2.8311034969352304e-07,-0.4785005654505036,4.385905669500582e-08,-2.54391707510087e-07,2.345558251940943e-07,1.3597792814157967,1.383372861034268
gov,25,gov,17.85127161009567,3.337818894511212,0.0075483549148116355,0.20183322998679618,-1.9052394841855535e-08,0.18504558252249,0.00714942874955274,-0.27726084689090663,-0.737718232067743,-0.09505429452160591,17.107137191416367,15.290648590532692,12.569335954566238,0.11772343246903069,0.030690231124693663,-5.308748298560498,0.8612075908445456,0.29633928753493655,0.0004815017302383424,1.301436255002134,2.182355910353524
gov,50,flores,24.64730842647748,-6.128580169695817e-09,4.959024648859264e-08,7.05483338106432e-08,3.4105979762856584e-08,6.650555464785442e-08,-3.2454673335961163e-07,-4.508397619726609,-10.77450008772898,-0.9596940716641056,7.820166722333185e-09,-4.56723533400809,-11.541797946273675,1.0631077140090535e-07,1.339825985139299e-07,-1.2492147382083666e-07,8.117131147456715e-08,-2.6832951196463155e-08,-2.7270717221319827e-07,0.8073200879976529,3.7706704181525894
gov,50,bible,1.6161460444911144,-6.137193138280793e-05,-5.656477004506363e-05,0.00010220287561809949,-2.2678016087375696e-05,4.42655552375791e-05,-1.6355403804276453e-05,-1.8022664024704722e-09,-0.020095168400290107,4.9831398008251646e-05,-2.3199057353416917e-05,-0.07462477397029524,-0.4884482630865731,0.751118866517975,-9.088738369856261e-05,8.885605285870463e-05,3.422890518536837e-05,4.175434864578053e-05,4.6270287602000106e-05,0.8349269819865407,0.925959777656617
gov,50,gov,19.2033775993256,-3.0594614845809216e-07,1.5591484299906146e-06,8.153753919424132e-08,3.630953863970306e-07,2.8933299461868506e-07,2.564143631562367e-07,-0.034129034076582715,-5.057051008551992,-1.5324707188096458e-05,19.850304518415903,17.868990463802643,14.335997001348945,4.0631497753985395e-07,-5.372841727197903e-07,-4.019002161643079,4.8285798961023366e-06,-4.4422093626045257e-07,3.295722573810068e-07,0.7824212907593076,3.728740388005122
bible,1,flores,0.8538393657895057,-5.6452074802883e-09,-0.0001962701141843017,-0.0008293352252385205,-4.307598340296698e-05,0.00021035914817966268,0.0013150360915049747,0.11909180682361102,-0.0018149282402355168,0.000989001012889019,0.0013627049040564737,-0.003965787905322265,-0.00199768006168984,0.19729086353384764,-0.0006529979579014453,0.001415898815973126,0.0010514657188565564,-0.001703615588648032,9.447908153958395e-05,0.552555504351259,0.5717398470998867
bible,1,bible,16.088542395511663,1.7408702914662226,0.0014776434248909619,-0.010676131197255405,-0.0013582588183057487,-0.0012909643758152222,0.003011445854225242,0.0003018141232941541,0.0005144937578576526,0.001047314600292278,7.75940907479864,3.6873513188079388,1.2234631053788783,-0.01038330697753332,7.355777253052736e-08,-11.027525850488189,4.644247930285618,0.0031511189818883146,0.0011948956714735092,1.6724459568610874,2.396339959925867
bible,1,gov,0.4025135620704422,9.608320972445258e-05,-4.630940161582951e-09,4.251859658397867e-09,3.3132685957449776e-09,9.846794514840081e-09,-1.1658654713306866e-09,1.0337611854584401e-05,7.260316630064566e-08,-8.187282510954472e-09,2.287853895808859e-08,-8.99633257363e-09,-1.0775710076519933e-08,0.19058122537126632,5.020167059844598e-10,2.062568168573241e-09,-1.7175098679475968e-09,-7.90722847155065e-09,-6.251697852957928e-09,0.39378631589432905,0.40864868603891685
bible,10,flores,1.3535278336834753,0.24297648940309247,0.0009414849614878858,0.006579652429283903,-0.00031563803634512805,-0.0001336524939367115,0.0019923510084786946,0.4752365418719325,-0.004434207425002185,0.003605340156786669,-6.27306172539489e-09,0.0004725267117135067,-0.00014296653283025373,0.5032926115406282,0.0003952549256199164,-0.0034737146398597265,-0.0016955812565806931,-0.000561431647227999,-0.007185839522398312,0.8279312575345662,0.8404562510761859
bible,10,bible,16.768558184852605,3.5796651524887086e-07,-1.1334944038610405e-06,-6.704248264033726e-07,2.4109751837387793e-06,-1.884852930824631e-07,-8.526777900878429e-07,-0.00972727407597168,-6.190004861308099,-1.7093569250251297e-05,11.673887725190118,9.090498776346596,7.021040626767027,2.4229611384062565e-07,-0.0004755797939154106,-6.894951911674228,9.12833528146637,2.1820155482863963e-06,-3.6480746089300295e-07,1.6691047069017557,2.691076385547041
bible,10,gov,1.089494413742245,-0.0001184833743595999,0.002252577211999544,-1.7187893431118184e-05,0.0004248472129747096,0.004508733825301969,-0.0023603887912579664,-1.952893673243603e-09,0.00037132038551096274,0.00019718918612406965,0.0023302544616436204,0.002089242852472181,0.0017716349167176486,0.1622628762277853,0.0034634050114401263,0.0011248675475579836,-0.0009143347718255013,-4.2477982677962955e-05,0.0014609289558372802,0.6887421123568692,0.7151515277409709
bible,25,flores,1.504777603914088,0.2847653578536835,-1.5158080998570112e-07,-1.2502582209177536e-08,-1.424640921571187e-07,-3.6413124699600925e-07,6.418319953265228e-07,0.5988486819722626,0.05354272952031644,-4.116177332372391e-09,2.3240781399619173e-07,-2.248649066479957e-07,3.579140445219409e-07,0.6594716610965153,2.616290305180453e-07,-4.5193060692312745e-07,7.012254913073826e-08,-7.879318722998946e-08,2.52356751513604e-07,0.8449750318961767,0.8615127072244866
bible,25,bible,18.04712990459699,-3.1651608120199097e-09,-0.040151117614500915,0.0038492252557175747,1.2232466318726471,0.1447576760968544,0.00018113017484912497,-0.007251460761037189,-7.210692797894004,-0.03398364642953146,12.260220099167638,9.444809217770613,7.338433669583382,0.08957448657810385,0.003652590764413216,-6.082297930141342,11.657311402833976,0.06632998878362495,0.006025710041717491,1.8063205709515493,2.9071986068236164
bible,25,gov,1.0980580052121676,-1.5068053678314337e-09,0.0026819251217504595,-0.003160907082182035,7.599610882179502e-05,-0.0136068865761333,0.005302550876034,0.28784565947140484,0.0008145389120812816,-0.0018792702661493009,0.0027245000270096184,0.0027972635099659565,0.0006810884376514728,0.19331282383821177,0.0050184416095228465,-0.005650406287296811,-0.0006051104063048513,-0.0043467546978365355,0.00022733252788499113,0.7937702145982714,0.8140305409907199
