train set,train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3",rmse,kfold rmse
gov,1,flores,13.304774811299444,49.19491387332597,62.9305929513534,70.08229961807301,-22.85533276427512,-39.551228882526495,-58.872311490198186,-6.29627714800717,-18.745011575891457,-29.542356265117157,-19.458177217284742,-28.35283926878802,-16.77988291337987,2.149556737854322e-09,4.214955576653883e-09
gov,1,bible,-15.12147874840333,-20.2865499279035,19.718092074605433,31.451673131030738,60.481135368416446,-91.7733114534141,-39.88288744008749,72.27014032280047,-62.26171164680178,-25.9992023015782,-13.547770570845922,35.03697391832046,-35.620997046414345,2.9719049808516584e-09,1.88920069257097e-09
gov,1,gov,-4.875633871822328,66.59950067563769,160.58406447396072,107.11579941313377,21.72975138640131,47.55045053219118,-1.165234265959211,-5.847689197863703,-98.7732555562559,26.522977243085613,-68.92660552534053,-114.31382125231679,50.07364946951797,2.4782254448868304e-09,2.960375314961578e-09
gov,10,flores,74.65015454580207,83.26534371387395,126.33050845382972,-153.87587155010021,-105.13750504234285,-149.696018761316,-137.09836341989427,13.218719473728221,-20.64855562352191,-7.574950010928541,-47.60047881476878,22.36292731928549,2.6750153800218444,1.3552274609188868e-09,7.429933120616153e-12
gov,10,bible,3.388357122419382,4.50898944336237,66.69323196176678,-3.526171110533591,-63.24666915336627,50.619822272424294,-94.16309599476119,23.445356576112495,-30.154611856048284,-19.498516539406868,13.639008832297506,30.47616331946475,-63.49997501608749,1.642004067621393e-09,1.3655907286458068e-11
gov,10,gov,-4.516115303682474,75.66355720552671,18.218619932160415,94.04581444988538,27.913236961081168,6.988566022548119,41.89529732624939,-48.68215276855333,-3.382197028364861,-14.085538690049344,-36.773461387627115,20.989204769767927,-19.808374346077404,3.648737948857966e-10,1.2985318284053661e-09
gov,25,flores,29.404990381064643,35.23614511821172,48.642799648353034,50.996702486912575,-38.40712309691599,-9.15367565278255,-463.9394951620804,-9.591495479491359,-30.517693129156054,13.827071881905631,80.69501742554861,-39.76583430306927,-40.512435531590654,4.758280994222975e-09,3.4535556709590466e-12
gov,25,bible,3.3451854254402136,14.228794825338781,23.188567458761156,23.80074452545439,52.88303249015632,-91.92132155031987,-93.41331123725725,1.8694056342397163,0.9824436403804965,-17.465847109359483,-10.449973418166069,-15.610342846246446,3.960810165800367,2.600978011854378e-10,5.35830881792487e-10
gov,25,gov,1.7042427602888774,7.591057780887793,15.749595742458652,162.86823930875005,70.837624510893,-17.9830113272116,-28.828660154717017,5.517153545384515,-70.49755093824268,0.061956125673451,-15.263637767173543,-31.14077185119022,27.702938613430536,2.9680359809515765e-09,2.4197154024741996e-09
gov,50,flores,13.31765063181435,7.233764283351598,1.4543736117520776,-18.479388849729524,11.30041153374612,10.33667219975578,24.085487211191396,-0.029366818333988645,-9.969465626004544,-18.64146886439761,4.749650815249762,-10.81977730527628,-15.196363367280034,8.002402208174587e-10,5.363342686589688e-13
gov,50,bible,-2.2652527720063094,16.304539767015417,-1.5421031308472435,-1.0872170123165628,6.141836683386162,0.2360847300023161,-0.03685814578121795,-4.491491964922846,-2.0730891843053914,-1.2142827913663425,0.9917034094837207,-8.056002041053326,-4.069855315638949,2.872563691651115e-10,7.930962750514909e-10
