train set,test set,language to,c0,c1,rmse,kfold rmse
gov,flores,ka,5.34990908702901,2.0558940525718925,2.9361672668231353,13.397671803407372
gov,flores,gu,10.073138434840326,1.437854329488898,2.397161868128165,9.84545003770966
gov,flores,hi,10.5023795700392,0.6513420605371899,2.7427721258857996,4.584263329752257
gov,flores,si,6.606665147190702,0.6888931400942488,1.9785147946502852,3.4985268743896016
gov,flores,ta,4.857156848850191,0.8925930091305507,1.5388620047162513,2.7827063138525547
gov,bible,ka,0.6965235557059807,1.901130727737975,0.37478060265733676,1.7336139703163707
gov,bible,gu,2.680880338378373,1.2260909183511488,0.42895178555826413,1.4462926211466824
gov,bible,hi,2.070232507541165,0.5909996538701903,0.7546022221261706,1.308743875514042
gov,bible,si,0.5777895403988728,1.0106312815965437,0.25263255956479963,0.50043004529197
gov,bible,ta,0.59788409146898,1.0396164063783442,0.22106388593304208,0.5186330704212957
gov,gov,ka,17.458314116038043,1.4521177988624843,5.567921373968417,27.375508203664527
gov,gov,gu,25.199023302713197,0.8785655966155922,3.0562299816500857,8.975289983151486
gov,gov,hi,25.775502908804004,0.4097076883553052,4.431767877159089,6.89601075304317
gov,gov,si,31.517273970807025,0.513916034389173,7.034770090016011,11.325670047308916
gov,gov,ta,26.838504790642336,0.4733927162202005,5.136676453540762,7.987405441823295
bible,flores,ka,0.8970505824969405,1.8871541028175485,0.38248601211034755,2.0225302205341222
bible,flores,gu,2.4730965358249786,1.1448385563671595,0.5137864218478181,1.849963309737977
bible,flores,hi,1.7390333250779288,1.0234219846517403,0.27064502429769083,0.8654983328269648
bible,flores,si,1.0462814488117185,1.2843653374873794,0.26029375236175945,1.0497584808577736
bible,flores,ta,0.9908826579790625,1.468911248449175,0.20506626031953007,0.7988918042931507
bible,bible,ka,15.243785393025753,1.298357792732958,3.1776617051702485,11.891330113847438
bible,bible,gu,18.169705702016753,0.9584828143141644,2.205168873149583,6.582826533547259
bible,bible,hi,20.570438719052564,0.9572341937455604,2.351165455327856,6.9404474773124045
bible,bible,si,24.46349554342007,0.9712841502958481,3.3133062529114614,10.139689170295794
bible,bible,ta,18.657709483623645,1.102582344609282,2.70167810981251,8.63485147922721
bible,gov,ka,0.43852333647291314,1.7277098853153536,0.13891605187829117,0.7372666877920347
bible,gov,gu,1.496778727047472,1.39340951939564,0.31836541603828855,1.2299969939186688
bible,gov,hi,1.22660527448633,0.8730405452366011,0.24925403311428268,0.8367224006363653
bible,gov,si,0.5059905693404169,1.2372610798474437,0.11360139857588843,0.431685122659816
bible,gov,ta,0.4116803614518854,1.4203181264964968,0.11561448117755152,0.5169265438025096
