model,multi factor,multi variable,overall linear,sliced linear
linear,123.25%,100.00%,100.00%,100.00%
poly2,119.32%,96.81%,96.81%,96.81%
poly3,118.25%,95.94%,95.94%,95.94%
exp,127.49%,103.44%,103.44%,103.44%
log,123.00%,99.79%,99.79%,99.79%
power,147.84%,119.95%,119.95%,119.95%
hmult,156.44%,126.92%,126.92%,126.92%
