model,multi factor,multi variable,overall linear,sliced linear
linear,86.52%,29.04%,28.90%,100.00%
poly2,84.19%,28.25%,28.13%,97.31%
poly3,84.12%,28.23%,28.10%,97.22%
exp,86.28%,28.96%,28.82%,99.73%
log,86.78%,29.12%,28.99%,100.30%
power,86.54%,29.04%,28.91%,100.03%
hmult,89.81%,30.14%,30.00%,103.80%
