model,pareto,rawlsian,flores-ka,flores-gu,flores-hi,flores-si,flores-ta,bible-ka,bible-gu,bible-hi,bible-si,bible-ta,gov-ka,gov-gu,gov-hi,gov-si,gov-ta
linear,True,False,5.081479328008586,6.679424488517662,5.387506950118465,3.45340037463482,2.564312587805019,11.512820398951073,10.81266573134309,12.76102773143336,16.29437415794984,12.97807224319696,14.57173673741374,16.17472669723506,13.69591048340953,18.14776131732892,15.12913806754851
poly2,True,False,5.215414365339523,7.00371208947582,6.252248772238677,4.026127553889936,3.05347715040401,12.209084589322652,11.527363765752114,11.875706286117245,15.338282730998346,12.103982997134665,15.375968151379794,17.283940723754103,15.07461530240521,20.178459803469373,16.72312323156393
poly3,False,False,5.215418581927065,7.003709169997717,6.97148119257578,4.502023218978365,3.410804398647408,12.209079085974098,11.527346167357315,12.85007168458779,16.596178682015786,13.059395481021191,15.375976688949708,17.283968816068278,16.575332683585128,22.262888083032788,18.409589821627517
exp,True,True,5.224833674984535,6.755352958707143,5.3804981465656025,3.501683524587752,2.5905721263438646,11.573258277332572,10.838821634355552,12.945044028399751,16.510259397137737,13.18796612566859,14.696781116535131,16.178147128506332,13.552453698145628,17.971463879040574,14.944981443090745
log,True,False,4.755717706712139,6.408150549447534,5.831769318707593,3.7181066325738503,2.954628295017156,11.186115153914136,10.596730387235054,12.733017836622407,16.36825666673305,12.942556130139804,14.045934549219131,15.890453550481418,14.49313106359807,19.29795578706912,16.09497994596186
power,True,False,5.011956690145074,6.497180762658458,5.628445068598175,3.5696430511568087,2.7135287097631964,11.317594874595402,10.632133223058636,12.705843265522647,16.324605000267635,12.920132963942985,14.667191093912088,15.932838603946394,14.284490844133291,18.83333343872021,15.75804321969386
hmult,True,False,5.40237669492732,6.833993305709945,6.833506076186372,4.414271293711484,3.675544237259714,11.367531198621965,10.618392632592805,12.576716384132638,16.168704482591686,12.794281939470656,14.481907022768189,15.77730814439466,15.541189492967622,21.23687052631522,17.430151687894078
scaling,True,False,4.967213081098006,6.495639257234546,5.677838531961286,3.6088525866096735,2.74890255659316,11.305689670792624,10.644769341570484,12.659530023291044,16.27378045345392,12.87435032542879,14.595994437070438,15.997279018337602,14.337854343857504,18.94289900199652,15.829701846761358
