language to,c0,"c1,1","c1,2",rmse,kfold rmse
ka,30.456254104618715,-57.79416380106434,-7.3575827304475544e-09,5.143367449774736,5.197364531599456
gu,31.90107405849363,-32.68615613066492,-43.48946648490866,5.083603579257505,5.140943942780867
hi,36.58849441796805,-66.81167855051727,-3.496348778633566e-09,4.351517375370489,4.3387338932462765
si,45.546195024393725,-81.54836475887002,1.35487484489814e-06,5.561280484208406,5.551586516862112
ta,35.61386617922583,-63.39169727912337,-4.719346203353249e-09,5.014914978675958,5.052816106715385
