train set,train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3","c5,1","c5,2","c5,3",rmse,kfold rmse
gov,1,flores,11.048893730149834,10.023283216557523,11.18954954681117,-25.628446716073103,8.680684542690726,8.513806219400177,-14.488285457228049,4.239978445457069,-2.9584641487171357,-13.132658050262348,3.6665814213319585,-3.9582758839471692,-12.468360845574798,5.370416848451235,-44.71423395510026,44.76467385779968,1.8229207572845617e-09,0.6523577199771189
gov,1,bible,4.319913357177469,2.3978741272113315,-0.40081814937673443,-5.379777658421276,2.17585277818738,0.2850882556036764,-1.2503178735840936,2.1568753116798023,-0.5746181617789697,-4.211245256653675,2.1895643091956876,-0.14246542292529152,-2.691540356495924,-5.830755411542809,-28.49511809093135,35.28987049288772,2.751031831834702e-10,1.4086192767408925
gov,1,gov,-4.278310694514205,2.7685146503827127,-28.847799808328357,-11.829468750633662,145.92914497945776,-123.47882359597372,12.511923611359364,3.310470064911823,45.15306863369311,-49.58672676999442,-8.701708555589855,-13.147424451168812,-17.367751740559576,10.559341329234545,119.53733405241914,-86.23906873744669,1.5278567316303065e-08,1.418020507469115
gov,10,flores,20.665832489033427,16.117691424140546,11.594831142829058,-38.952060885418234,13.74648989582327,-14.994411681807037,-21.11209676233043,15.17042781996487,-9.684377753981106,-19.333524182827862,14.9264480985477,4.851071054816553,-15.343727794941243,-40.20782449276427,-25.20358925316231,-31.636222669194392,3.2807829518340926e-11,2.7144545817138046
gov,10,bible,5.934147761020026,4.228644761372382,2.4418280462005133,0.1520908759340768,2.5950642936597665,-0.34363012559680284,-3.8786488091970246,1.878632937170334,-2.5408723959030604,-7.606031615162749,2.7503610144194597,-0.6857247575438963,-4.401112259036924,0.5935640344603333,-7.696997804036304,-39.66947619235292,8.535613343657945e-12,1.4697236245619374
gov,10,gov,13.976785441697201,18.33668505884283,13.801344539300825,-4.976307321933648,-10.08320405966321,-7.1163569093751775,27.582109067692627,1.3520217892759152,-14.210239869362077,45.0477915674502,12.172450143412858,-7.7461977760922,-12.231061427803388,27.81123610335969,-4.67681745389134,-11.586093743243602,1.5210615763775217e-09,4.013005838886616
gov,25,flores,26.08424988052483,16.64438272670918,-12.039082028984593,-10.28469800408415,10.400239937854836,-16.139792091097565,-17.068594603511404,17.44820440746968,-8.969715202959895,-22.233883214106896,19.15276270557047,5.567156702325751,-17.63198007873588,-44.367910681936245,-35.45675994972157,-34.976500836413294,6.116361777892301e-10,5.8950735544845525
gov,25,bible,6.641680328208972,4.742754636108588,2.7537725587197626,0.31014937095219536,3.156653718104276,0.233565091559229,-2.796251611050413,2.0353936949268525,-2.93374540318614,-8.559209869911527,2.993543474745127,-0.9438977360022947,-5.207576416645597,0.7185100852374927,-7.684670594314351,-40.784892199945396,1.9298053712972233e-09,0.7895660598872455
gov,25,gov,3.299103868288259,18.013012515074994,-98.14512088953755,9.040863719819953,5.767647470591699,-1.4961754140323549,0.10412154985144355,65.81474266863148,-8.444525816768998,11.287871007619454,-1.542470896550774,-6.367434894798251,-10.736211196432192,54.01911992428942,-26.19544370453744,20.409459980471336,4.447755265049831e-10,0.7896800566645968
gov,50,flores,-7.650607562017552,12.552903892457142,4.949719023488654,2.0692125602712097,-8.832856158052625,-24.47652348438379,-29.373063617542808,4.427322208771043,-6.212910921493371,-13.946147438815201,-12.169153084987,48.60337402870977,-9.360989201501306,13.45905034979033,9.30605846250671,8.243074127057703,4.2536485231744855e-10,6.997092631167612
gov,50,bible,2.807973874209668,3.8051800876393607,-1.8008206950911856,-0.0023092644157605997,-14.784786135498177,9.628273449329694,4.351493757166185,-0.6243687206829968,-15.286559012450716,9.372248170789437,1.638255015432759,0.30488797566679887,-1.2200292005669078,15.449361967331253,-1.5676818175564677,-0.41100798108082903,5.786182637386421e-09,0.9146376441354499
gov,50,gov,-24.856990358474434,16.82649955218054,7.137154968472099,5.3459329435709595,-9.336542022934879,-14.554033270815644,-18.490201641850785,1.5191466012442496,15.412649217437506,35.66597441195198,45.93721264821063,-2.637982194316896,-4.34880706566023,14.812337367817277,8.154446659007437,5.878527918292411,7.669331321256703e-09,2.859453241450994
bible,1,flores,5.82056865244719,-2.3096212769392075,34.179475109495996,9.671032845614572,6.200631214416949,-7.295070775919285,0.17789206976193378,5.132196217209628,1.74738723260707,-12.391624825020568,2.846666458086027,-0.4049581163520043,-3.9573569068591357,-62.72386540522852,65.46115711879428,18.246383751771255,5.102807978683658e-10,0.7881670592746385
bible,1,bible,3.9126624245648407,9.892772173888202,46.8516885975449,34.390135226279135,5.1465789991724336,-7.033794002369841,14.338988609420454,0.28400995892761083,-0.9453602117339436,1.2759783018802164,-2.7236269083347135,-9.752218974879712,-17.17341667364158,37.355517595666825,24.427689212953734,-21.23405534136591,1.963690809911166e-09,4.877183834482095
bible,1,gov,3.931374631163757,1.4668636064530753,-12.443169771580338,3.423849609640788,2.161598987544395,-0.29036843800866086,-0.17073011645398098,2.4281809323054007,0.25902964239408915,-3.7397008008766823,1.9084512759062493,-0.2949368805924815,-2.6905038871426017,-13.652615766319489,23.293286704300137,-7.487386090655077,9.420362563352502e-10,1.1839484140513905
bible,10,flores,4.696925805678906,2.8991658141527523,0.7874589370947866,-3.8383320152822575,2.250038342842231,-0.0025331338325151995,-2.842892410152448,2.1828388395429172,-0.7144491368742514,-4.194848237255072,2.3395797276271337,-0.14629989228909493,-2.7566839378687176,-3.4205763965893605,-18.275221412300372,2.2937439843143004,4.5607733424209575e-11,1.6448051428986783
bible,10,bible,8.537377171410588,11.022452520910301,-2.811512936570906,76.82818463603772,7.18007519353652,-5.606785913720333,-5.581215097565312,6.183639383008082,5.388548985573648,5.845208464674538,1.0155349533986973,-6.971893468319318,-15.42088080400739,10.39422550272011,97.8386332322405,-78.4140563364144,3.383332027287568e-09,1.3709135536128831
bible,10,gov,3.6631016147594218,3.555764281363515,3.5102396522474963,-7.717453877713919,-1.2412535254769181,-12.937095632084604,21.68249765420699,1.6691697205197489,-0.5945748730261577,-4.056300904123924,1.6015674592150972,-0.6632128556809876,-3.1163242178114143,3.9001266403384367,-14.164395092564293,-4.7347899662869395,7.513807019199939e-10,0.2586283012715735
