model,pareto,rawlsian,gov-flores,gov-bible,gov-gov,bible-flores,bible-bible,bible-gov
linear,False,False,4.229252146185245,1.2537765180109444,6.588054685684308,0.813922962624934,4.263032500800343,0.6720931007745464
poly2,False,False,3.487302048603389,1.1641252032785765,5.106584129286356,0.7688762711957174,3.570786617611754,0.6571275720977281
poly3,True,True,3.4852675903917323,1.1873844016816326,4.344518578762685,0.7709385383540419,3.5714253125944424,0.6596247071917725
exp,False,False,4.402864830815804,1.2665208285939198,6.977579752270151,0.830280609878098,4.481520064273194,0.6775673695532689
log,True,False,3.3891976152619074,1.1692351203344484,4.359357243092295,0.7621244032373277,3.5258089866958984,0.6503324300505183
power,False,False,3.5527268905014417,1.1844367150727373,4.613042942771501,0.768320643197665,3.559235905046363,0.6512727333263912
hmult,False,False,3.869517718419593,1.1813469333379572,6.103464838734764,0.7670512397318624,4.088792192439902,0.6572707188918082
scaling,True,False,3.3333570978863767,1.163908284931871,4.4005256039772025,0.7655243510773241,3.559049427149418,0.6511856097257926
