train set size,c0,c1,c2,c3,rmse,kfold rmse
1,2.5176759003725464,2.079179497544615,-1.1804008821427305e-09,-0.059739891084700264,8.60228474490025,8.56106642447186
10,5.995012996382455,4.993608778949785,-0.0017950892980481018,-9.993704124872246e-10,13.826464294038525,13.687794451776531
25,7.046835036399326,5.85079235850467,-0.00010942658091787341,-2.273668116323824e-09,15.432384414465849,15.496357878555969
50,9.057583924300943,7.512840379846476,-0.013323036531505333,-1.1306488342696761e-09,17.61150093869154,18.05037950067464
