train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
cc_align,25,gov,1,flores,3486.8930548868516,-10921.044840251705,2487.754481432302,11544.232530811501,-1037.2952511789074,3236.8716210743637,-2959.026973884535,7.99090665475475e-06,23.488860852176316
cc_align,25,gov,1,bible,659.9706638731756,-2071.672662255519,459.3883111703333,2171.5522935917124,-175.81898214791414,606.6487591721494,-575.6008976237424,1.4070641328904583e-05,4.421547593581944
cc_align,25,gov,1,gov,4778.117512300521,-15124.893355395943,3569.9831686024327,16161.053534128356,-1385.459156062972,4489.555876901641,-4190.998619556294,8.585315407472755e-07,32.70111893551985
cc_align,25,gov,10,flores,2121.502241900516,-6612.587991003333,1391.862841059266,6826.652077863929,-464.68481082658917,1886.2660827402633,-1919.637556102125,3.8159778492409404e-05,13.933602556895918
cc_align,25,gov,10,bible,1748.197723333326,-5418.787338456965,1266.1159464994826,5774.461388205974,-634.6140782434122,1654.595669075104,-1353.966636054256,3.5269470554400164e-05,11.785110901845485
cc_align,25,gov,10,gov,3266.4198123655547,-10525.275222142329,2511.2571355495697,11280.352581132298,-705.7860806628674,3034.9762725410847,-3195.2257326982226,2.6008112240620134e-05,22.635173252952793
cc_align,25,gov,25,flores,1522.6237368422226,-4724.937121963171,935.5524397175584,4795.613290384046,-250.48393145684628,1310.3969972626599,-1435.8771464588553,1.3453299027396585e-05,9.812161744004502
cc_align,25,gov,25,bible,1731.7164390969083,-5367.219380405258,1249.6338458923624,5714.189024072413,-622.6385094031326,1636.8572902364701,-1343.6763034101236,1.3600072750757538e-05,11.66238544194726
cc_align,25,gov,25,gov,2835.5926364201764,-9227.584396431597,2207.191292184392,9892.693807239692,-491.38309448478134,2619.0826193125713,-2935.3238436427705,7.279200218579855e-06,19.769867108277943
cc_align,25,gov,50,flores,81.82839039574314,-62.70002650921252,-79.44092655514469,-61.892606676645315,-30.16431784722012,5.339620198095298,31.046049977478877,9.066448790147906e-08,8.411975022136234
cc_align,25,gov,50,bible,20.05989943124509,-18.338240029774663,-22.1405017265144,-16.855023811501134,-5.844657557392466,4.776632049678396,11.442934748634622,2.9283144437757744e-07,2.491225545015259
cc_align,25,gov,50,gov,-114.7193592147292,179.31246225019797,200.35385143052002,152.0809460764754,51.126316903011336,-45.269448426315066,-98.20114521533816,2.046120271257449e-07,21.50396605649312
cc_align,25,bible,1,flores,1302.17941765315,-4058.2214364100314,941.9068892667805,4315.727119353863,-440.6006756440849,1225.8435074259003,-1047.616650230251,4.317515132362536e-05,8.791328857140446
cc_align,25,bible,1,bible,5643.980198867188,-17776.689550881845,4254.260012441052,19082.60511957501,-1837.9809688137443,5347.255247203002,-4741.203437473768,1.7285600339360887e-05,38.6624803098329
cc_align,25,bible,1,gov,907.1355793992471,-2828.8190279602513,652.7750265664123,3003.1099462298293,-299.12410805332803,850.310480325887,-738.4421323841378,1.2097455993208917e-05,6.1178160039981835
cc_align,25,bible,10,flores,996.7376963606331,-3106.18332327654,698.3861519809145,3269.547835598114,-299.75437516569355,923.046279692741,-830.5942313047907,1.7640595624892616e-05,6.668965206555264
cc_align,25,bible,10,bible,5217.976212932396,-16481.916419258614,3980.5544858719372,17743.24998631231,-1655.79518943204,4943.906041728592,-4463.995468096734,4.107915115117818e-06,35.87548072951385
cc_align,25,bible,10,gov,1295.0321177420387,-4068.428929884066,929.4336420960507,4304.182490395698,-381.7374508352769,1207.9772409901086,-1108.188184797814,1.2460324970201745e-05,8.751858694779697
cc_align,25,bible,25,flores,879.4279896679725,-2728.815242437887,609.831387461218,2868.437866275343,-271.775491894089,813.4828599538727,-716.7204815094234,2.899683149553408e-05,5.859699955711352
cc_align,25,bible,25,bible,4826.2865323512615,-15237.530257196486,3692.044799748552,16419.55392658148,-1532.2315647547098,4571.71152281382,-4130.461236571417,2.77118866611155e-05,33.18786167063561
cc_align,25,bible,25,gov,1274.8471917788495,-4000.989476499072,911.2378514616747,4229.424228317045,-375.49290884043694,1187.4119017515527,-1087.1544739732676,1.552716601251561e-05,8.60330834808077
cc_align,100,gov,1,flores,3039.969033511839,-9489.737497795753,2155.446174415502,10024.46874594947,-921.9476324200764,2820.9021174741233,-2553.3551959092715,5.624668142855645e-06,20.416615782658333
cc_align,100,gov,1,bible,661.1323790569897,-2075.1969815001657,460.27608805270984,2175.265563081885,-175.0811753832682,607.218722930914,-578.2639177923082,2.291207344534919e-06,4.4283248198328
cc_align,100,gov,1,gov,3854.9623633701026,-12197.70884659001,2893.3866084526753,13053.002162993727,-1120.072519797045,3622.798049918965,-3383.932264895495,1.4141076498405442e-05,26.39802136724957
cc_align,100,gov,10,flores,2950.515719369723,-9202.339672054619,2019.336753138325,9621.242930259516,-776.2167453830282,2682.372528184379,-2567.3602885127257,1.8613536878316187e-05,19.61125513663842
