model,pareto,rawlsian,1k,10k,25k,50k
linear,True,True,8.125360180583407,13.557046248104175,15.181034464468324,17.427729376878236
poly2,False,False,8.089670770828523,13.539153240722811,15.163062734652964,17.494771807018978
poly3,False,False,8.04912068259863,13.530478660498147,15.153302735444294,17.522142101294698
exp,True,False,8.117681975876666,13.551957101456082,15.174182621949118,17.445005830037466
log,True,False,8.075165432553636,13.537635243047593,15.16063615928125,17.45812768682325
power,True,False,8.022042821055498,13.5115190928616,15.136065944648092,17.553746766584215
hmult,True,False,8.027175085556957,13.526788777627484,15.151297860856667,17.487933831133976
