train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,loo rmse
cc_align,25,gov,1,flores,45.68860404636091,-29.947354115041357,0.49860748377302055,-31.48249771688898,7.832135713287789,1.00000000000001,1.0488088562256699
cc_align,25,gov,1,bible,10.354925503956949,-7.671691230663606,2.1956270859718,-3.710024076859546,-16.84282331853549,0.23021728866442742,0.23874672328350244
cc_align,25,gov,1,gov,40.50551783330401,-14.373940735374205,-12.43476918796647,43.43529387914932,-69.19328302121446,2.05912602819745,2.5581243372794638
cc_align,25,gov,10,flores,126.34894385455215,-176.70103228651138,79.57948918465723,-38.409835681025555,-17.271663281812373,2.0496341136896348,2.408526582593722
cc_align,25,gov,10,bible,-0.016890711971332628,17.107051203194068,-11.635289993961269,-2.6117432861032572,-14.12608250875557,0.6648308055437877,0.7231873755260418
cc_align,25,gov,10,gov,-39.660119867144815,179.32183302453592,-118.85360530119209,34.619379431679405,-11.59912678763892,3.259601202601538,3.496426774623008
cc_align,25,gov,25,flores,-38.952876900767066,176.7737851594598,-105.14409858457387,-46.03138428588065,-8.526599292058057,2.2847319317591994,2.7429909856130434
cc_align,25,gov,25,bible,16.364233858054686,-11.480181262050579,4.200094690322041,-14.49086211833557,-4.298765120283453,0.7106335201776024,0.8056053725642753
cc_align,25,gov,25,gov,-2.2669088961686725,96.57813378134115,-75.83060650527754,66.90471591892566,-55.57816670331799,3.7938107491019486,4.030136603163944
cc_align,25,gov,50,flores,-25.847338639743686,67.06309874864061,-56.61216140039386,61.95031687740349,21.97671294145579,2.6536138880151365,4.317692496206419
cc_align,25,gov,50,bible,-0.32891074808676996,2.708291502297451,0.15353082763855563,1.8667639643653025,1.3773927129951227,0.5715476066494082,0.5824274484198086
cc_align,25,gov,50,gov,85.41968539404964,-61.60086081629016,19.26361410803063,-4.700344832349309,-0.6393825259033985,5.307227776030294,5.822506584562895
cc_align,25,bible,1,flores,9.095058565184171,-3.778128298489392,-1.1694061316175568,-4.8188908068756104,-6.687298780496867,0.382099463490856,0.4135214575046098
cc_align,25,bible,1,bible,9.5731466167774,36.15050071946345,-44.289738047326864,31.843861014834435,12.365913372691312,1.5211837495845173,1.844721979266253
cc_align,25,bible,1,gov,10.151238914932161,-9.432333143103536,1.8064911975875921,-5.523149304283418,1.4616418967924645,0.28635642126553296,0.2880972047427569
cc_align,25,bible,10,flores,16.662643153570258,-12.89366294854607,4.417717071858938,-10.255732092640553,-11.77752777399889,0.4159326868617191,0.4207136794695595
cc_align,25,bible,10,bible,2.6888259884993904,47.58975042419955,-52.94197202463018,81.28647711815299,-24.694967763781086,2.1503488089145137,2.3765521417027107
cc_align,25,bible,10,gov,-11.327587859116198,44.02894022942703,-27.64681114211806,-4.901490747772238,-13.712155776500468,0.2549509756796494,0.2846050073873709
cc_align,25,bible,25,flores,7.600052034791718,5.35679515180655,-3.6088393531044,-10.32171239846873,-16.68326771816087,0.470106370941727,0.4959838736325593
cc_align,25,bible,25,bible,13.598085129836164,65.19815854020274,-60.89377188584358,-17.51445546524102,120.02069165319108,2.149651134486974,2.3496807721695174
cc_align,25,bible,25,gov,-10.649905961794286,45.27225677573148,-27.774871904776983,-9.985293370152025,-10.021009707059477,0.298328677803526,0.33763885975739477
cc_align,100,gov,1,flores,43.17279466905923,-26.821536697738303,0.6955440909198654,-32.48134785495848,14.973356323527796,1.1751595636338168,1.2672805660319746
cc_align,100,gov,1,bible,-17.121846516949006,51.7502452993635,-29.34223434775574,-5.960960012973334,-12.198627331536189,0.22360679774998474,0.22583179814334178
cc_align,100,gov,1,gov,44.52113506207702,-23.0076883539377,-4.9959553576716615,26.18963846362806,-30.27091910786457,1.8124568960392127,2.1922589051842887
cc_align,100,gov,10,flores,117.61728070335391,-126.91083055597514,51.5320002232468,-113.6826479908581,97.40378683142372,1.833575741550768,2.07918265814664
cc_align,100,gov,10,bible,-11.920129934549067,47.13767206518688,-28.756669581651455,-6.813423245505328,-7.409395244972575,0.6074537019394978,0.7707139191782865
cc_align,100,gov,10,gov,-39.737031356181454,172.99947332000198,-115.52604500176153,54.70432849478328,-38.86330146406697,3.33781365567354,3.6410163751016467
cc_align,100,gov,25,flores,72.49668311599125,-63.63463178754531,21.912972247659283,-34.562612955517366,-15.624871895542057,2.115183207195854,2.3872577660493977
cc_align,100,gov,25,bible,-0.9069164423682201,21.77200621505631,-14.090529851430993,-4.10159979557967,-12.711999991975155,0.7211102550927988,0.9186947253554102
cc_align,100,gov,25,gov,74.9873945087459,-48.99543485651776,0.7870580693326161,14.372387412678428,27.32516497610043,3.940685219603513,4.222913878788954
cc_align,100,gov,50,flores,40.527710777803705,49.51407735630144,-46.84951447370588,-61.02392226454953,-26.141904729868905,2.9802125203861998,4.829735721076931
cc_align,100,gov,50,bible,3.6863486946291344,1.0843862219104226,-0.04441384614984156,-1.0698703442851505,0.010169128606457939,0.408248290463863,0.4801789183798123
cc_align,100,gov,50,gov,-5.543563412762289,46.01882670897577,-37.641487027827495,83.62445511075414,30.727758270641093,5.51135192126217,5.6292088886206315
cc_align,100,bible,1,flores,0.9668149243192459,10.481087675627448,-8.147940756986104,2.250222575403759,-17.50031779626924,0.4000000000000004,0.41952355317184875
cc_align,100,bible,1,bible,-11.802253074162042,76.88620396707353,-65.20326715491865,38.52934488134156,10.672364523662441,1.4560219778561332,1.6721245355365204
cc_align,100,bible,1,gov,15.684242920828108,-20.283657819883157,7.780872220651187,-4.850167905272241,-3.071188452063736,0.31780497164141774,0.3193743893011217
cc_align,100,bible,10,flores,-11.172829672645058,44.41528262775826,-24.692253987327938,-6.209494757289535,-20.415006655433935,0.4527692569068718,0.4909175255629887
cc_align,100,bible,10,bible,43.735940418429344,-56.16751604996915,1.6671138840134674,130.50101894508634,-94.28715432280978,2.3052114870443035,2.5304149507754623
cc_align,100,bible,10,gov,-10.754668474523822,43.089412633002155,-26.62600702049378,-4.4676348269533985,-15.760519651082323,0.33615472627944526,0.4207136718036966
cc_align,100,bible,25,flores,-8.786974221510654,44.71185550207193,-24.58518794931549,-14.356544599332482,-15.919221843469929,0.500000000000014,0.5753260115271875
cc_align,100,bible,25,bible,-48.3643556345358,174.71755771672179,-119.32501471878675,43.96059910052472,36.48483124771445,2.051828452869235,2.2223861444360047
cc_align,100,bible,25,gov,-10.828742550603486,44.431637109971206,-26.279809410939283,-6.801330181990924,-18.14095649439763,0.43931765272978407,0.5805169678483777
gov,25,bible,1,flores,5.861738037526614,10.434617458052026,-6.807693359866448,-23.267197447299452,8.238854579481885,0.49091750834536135,0.5069516691457107
gov,25,bible,1,bible,5.021473161535255,36.71239922812363,-41.16441789458858,44.303194330812374,-9.004579388245093,1.1734564329366868,1.20747669872958
gov,25,bible,1,gov,18.113452294412294,-18.3496652826203,8.07877012874863,-13.748251051674748,-4.64535566261859,0.4604345773288689,0.4774934553360291
gov,25,bible,10,flores,31.14405632434847,-31.456900807090932,14.450998131372327,-29.597561576901686,1.5679459064072123,0.5234500931324955,0.5683308778238491
gov,25,bible,10,bible,-52.030545025349944,165.81896631673075,-116.22051232893875,76.14551206289619,-12.350704017535097,2.141494805037336,2.2241852844048364
gov,25,bible,10,gov,-22.010678335513507,89.92677181125373,-50.224616793709444,-24.325281094645238,-23.821026089784507,0.8203657720797501,1.0963575981347067
gov,25,bible,25,flores,34.883012453607606,-38.02022919928684,18.958013343657946,-27.954650180683217,-11.49335474886606,0.5215361924162415,0.5366563278664612
gov,25,bible,25,bible,73.94510326018955,-83.94305471360701,17.07529115840611,43.92383511570316,34.394540245619424,1.7734147850968907,1.893673679490572
gov,25,bible,25,gov,7.347486737187109,49.30493420374977,-29.371017977994207,-70.89151783411043,34.845025603409034,1.0867382389517757,1.5287237629499122
gov,1,bible,1,flores,6.029780210437462,15.030836514621996,-11.595177122308693,-29.96506198062256,21.378657813172083,0.46043457732886667,0.47749345857709713
gov,1,bible,1,bible,-8.751519327611422,77.7707264402897,-68.30038152856642,28.390184884466148,15.156877792655905,1.476482306023344,1.8264719930488904
gov,1,bible,1,gov,-7.174377667922156,43.877212858152916,-28.09327080471561,-10.680792842709678,-16.170295124533975,0.4909175083453629,0.68264193543645
gov,1,bible,10,flores,-4.872681099670775,42.259951002529675,-26.97892202942718,-14.757029226800922,-15.347101172627864,0.30000000000000676,0.31464263473936804
gov,1,bible,10,bible,-47.23758706271606,173.2440850400124,-124.60214897508624,47.59961282411039,26.28629548686684,2.1654098919145763,2.4037470998612385
gov,1,bible,10,gov,33.71108781095783,-27.833607091444403,5.965057126126744,13.835193147198972,-80.47884382799982,1.756416807025036,2.449693801055548
gov,1,bible,25,flores,2.761026925106627,27.313530489747713,-17.533437755243387,-18.19819136375325,-17.574026732399947,0.42190046219573263,0.432434992835412
gov,1,bible,25,bible,63.380295797790595,-58.62275160220119,0.854077229332141,53.22385314065701,14.680233274191071,2.2489997776790376,2.4793144261925972
gov,1,bible,25,gov,-6.791218636319819,62.014662425776976,-42.37613740201402,10.307381535812041,-75.43912067735701,2.0260799589355103,2.8637387145018813
gov,10,bible,1,flores,29.462824465248524,-40.874029345656496,18.881070876524,-14.657550719755331,-1.9177843294751318,0.46043457732894255,0.4774934587271712
gov,10,bible,1,bible,-12.662111165819978,83.76758109472392,-65.40398676076595,16.033032924815746,27.095648125141267,1.035857133006407,1.0592451023750753
gov,10,bible,1,gov,22.89437288584552,-31.12209146310014,13.748465106581989,1.503966080517868,-28.577083005832726,0.412310562561945,0.4135214630245329
gov,10,bible,10,flores,30.57648988690973,-35.252905872575866,16.448901343883506,-18.08949903823745,-12.729286874346595,0.46043457732931314,0.4774934605910353
gov,10,bible,10,bible,61.72939922032873,-59.69971324175903,2.210377568610703,40.307982927692464,32.41714810560483,1.9902261178068255,2.0789421363907974
gov,10,bible,10,gov,35.39539707981814,-21.75269823857809,5.13299984176308,-34.73324396452157,-3.9525066012073573,1.1462983904725756,1.5501613332453619
gov,10,bible,25,flores,57.9656689647379,-83.25471167387353,42.50247867002697,-39.78671393251952,9.695308543594336,0.44384682042348217,0.44497191208510595
gov,10,bible,25,bible,71.10132055609425,-82.59120328935222,16.36378836782758,53.90219955089743,22.28259447468212,2.008233054204782,2.1947665011759985
gov,10,bible,25,gov,24.653638852178982,-9.82546118570429,-0.6181782079524665,-6.516662733503391,-42.833339781677466,1.4812157169028421,2.054020583663389
gov,50,bible,1,flores,6.171350402720722,-2.746090567914689,-1.4494261052114,-1.5239198124730429,0.8358384257581744,0.694022093788568,0.7355881319340878
gov,50,bible,1,bible,18.103355469167862,13.412308427894105,-27.059111081631134,28.71357582309951,9.737605503340795,1.5513435037626977,4.235689834076966
gov,50,bible,1,gov,-0.43645549809732365,4.367357132591813,-4.403872147337768,4.304289335929472,2.1953423317089813,0.5715476066494084,0.5902623631986907
gov,50,bible,10,flores,4.646490897539021,5.520117876678102,-6.326377094786561,-3.03202447784021,-1.42138596440514,0.6123724356957995,0.7155581693811007
gov,50,bible,10,bible,16.965585561909194,-13.302553705942344,-15.893392457456478,100.02904837822294,-4.257867347074875,2.6536138880151117,4.431985653857745
gov,50,bible,10,gov,-0.46479194910737487,4.406418980026896,1.3650428558120484,1.7115819657658777,0.05435858643300817,0.48989794855663643,0.9921991042671436
gov,50,bible,25,flores,4.61030316473458,1.513960909875197,-2.3757689631484893,-1.8689524724275324,-0.6307133077182407,0.5715476066494082,0.7327017318710911
gov,50,bible,25,bible,80.60786445348035,-19.784274698199532,-11.692488184916485,-40.74844359789047,-9.573279263882364,2.449489742783213,3.679541997444342
gov,50,bible,25,gov,-2.496473087832987,10.996231407991077,0.7914572070305166,-4.931198353529656,-1.992101108775214,0.20412414523193156,0.286531926345257
bible,25,gov,1,flores,41.073801010351595,-35.927273065123956,11.540671141602576,-29.175326955957303,-2.606675205406048,1.029563014098715,1.242577937574124
bible,25,gov,1,bible,4.817720329176705,19.401424210292383,-15.474433182352783,2.5725191291592493,-47.96074413468662,0.8221921916437864,0.82219219164378
bible,25,gov,1,gov,-2.861960142547815,67.20157164117728,-44.842931575787844,23.93603594982732,-54.194336821638025,1.492648652563658,1.7355116588896093
bible,25,gov,10,flores,68.73315182623995,-52.842727615417054,15.443542004310675,-58.823134850517704,14.033053139461337,2.2147234590350977,2.73970809000327
bible,25,gov,10,bible,9.147770233891933,41.806546736969025,-42.52976107051768,4.981747152196445,-23.5453450095542,1.0630145812736589,1.4460293502643833
bible,25,gov,10,gov,-1.2461780078398768,90.692872758872,-71.15414545403482,44.33512926510108,-20.47875607527799,3.2767361810191704,3.501142718582443
bible,25,gov,25,flores,69.73082635285652,-54.17634707899734,16.67175062510887,-51.403024491545054,2.718605401108732,2.3505318547095233,2.8328430991338234
bible,25,gov,25,bible,22.23874127269714,3.466364247235184,-26.03492903516453,51.38230052976223,-79.83185326149082,1.5498387012847632,2.1915749942851868
bible,25,gov,25,gov,15.837430468410716,63.58508297845581,-56.62372787875901,31.548748737449426,7.073219356803929,4.120436870041821,4.339009067791085
bible,25,gov,50,flores,46.877973661326834,-5.072856528975152,-21.01428440543939,-23.750645343755714,0.058909415877201,2.776088375154274,4.010726974348374
bible,25,gov,50,bible,27.56549307270932,-16.80601641773617,-0.3652530535424301,1.1982492824725854,-2.3345198765829513,0.040824829046629416,0.9217881214906553
bible,25,gov,50,gov,44.922073661051634,-27.33107929065133,4.121620925323512,40.48033466833945,19.345319937560415,5.511351921262161,5.9835017001430035
bible,1,gov,1,flores,-17.925790345721566,83.76305807480352,-58.296348758623054,5.67796874351183,-43.82566639542145,0.86023252670429,0.8966604331419793
bible,1,gov,1,bible,2.045247975587227,38.886240907392626,-33.88748968692754,-5.464981459692267,-15.050039272139653,1.320984481362388,1.644992426277602
bible,1,gov,1,gov,10.011997404204322,75.21284102960792,-67.74360135824098,-0.7655501526100963,-8.906357725282295,2.8539446385660714,3.9640896427549364
bible,1,gov,10,flores,70.68280610310448,-50.60805977076529,8.214779281098314,-55.438887890640416,14.912690639617558,1.9308029417837982,2.1799082264531995
bible,1,gov,10,bible,21.459776246767817,-5.302860819025096,-18.52480655594593,52.97936453687464,-86.39908802518285,1.6519685227025886,2.3308796373497165
bible,1,gov,10,gov,22.035550178192487,46.9611052167478,-52.611107010225126,44.91763567746878,-18.453766204380226,3.225523213371748,3.564828202649983
bible,1,gov,25,flores,60.1626023358,-21.518982158243606,-3.6742333203182334,-72.86315584777014,32.66171798969721,2.321421978013293,2.7228661978807267
bible,1,gov,25,bible,-13.826623133210125,88.01937444091867,-68.16809376722432,2.3561644632122483,-9.794520627697128,1.7734147850968462,2.5061923929381966
bible,1,gov,25,gov,30.647046228618503,4.811917334690311,-27.006273699558232,115.44262896198998,-117.06087934956906,3.850324661635778,4.052776606683633
bible,1,gov,50,flores,29.867405561918588,-36.06661397655937,-5.754409525402515,47.3408569734675,23.85797522592426,2.694438717061546,3.3261933120619793
bible,1,gov,50,bible,16.397006655243676,-4.968401589188956,-1.858739062476789,-2.3621002466815515,0.46858610339272166,0.2857738033248439,1.5113777617644295
bible,1,gov,50,gov,67.34090446863644,-11.196994737247074,-8.05421339295614,-15.911171732958628,-8.907664584288991,5.34805260507677,5.568879479592068
bible,10,gov,1,flores,32.21678438327825,-16.112191121876155,0.05904756875367012,-31.496239415338756,4.280343323968742,1.0963576058932605,1.250200002170953
bible,10,gov,1,bible,12.696020997054347,4.307977073198286,-8.846304304447784,2.0801134933900656,-43.68586975871939,0.8905054744357442,0.9257429406489287
bible,10,gov,1,gov,42.24964517111851,-17.539868808527277,-2.610594851673892,-1.53688606335095,-12.090169216280678,1.54434452114806,1.8638670597362401
bible,10,gov,10,flores,50.19862851174114,-23.487112113406425,0.519530561572985,-36.056112003518834,-18.491263149084897,2.263846284534373,2.708136589872747
bible,10,gov,10,bible,9.755571891411655,42.62942746243998,-44.80496413084889,2.6997877385750746,-15.99968886172622,1.4103191128252215,1.9372658196130808
bible,10,gov,10,gov,15.858283091097835,61.84976767349694,-56.236718066902895,26.4172510293983,2.261045799482685,3.3394610343587976,3.6177339928606562
bible,10,gov,25,flores,118.95550903365147,-155.69608136029711,70.6295235918562,-58.852171914434734,9.074488630570224,2.356480426398963,2.8030342956735166
bible,10,gov,25,bible,45.520919982583415,-24.399613221342765,-11.894936303943243,-10.528818220381597,11.469733246600322,1.426183718880614,2.014696111239504
bible,10,gov,25,gov,72.88703455948396,-53.739467775066394,4.862870016541741,25.68912029310004,12.586965488497333,3.931030399272024,4.149337181505243
bible,10,gov,50,flores,50.67715504962926,-26.024372403879685,-8.934541157155353,-10.566161556804236,-1.8236068252482365,2.694438717061503,3.1962639290057298
bible,10,gov,50,bible,12.161958285384461,28.41795321773759,-24.69365820048519,-15.362755322187075,0.3678062594323608,0.040824829046575396,0.7622100839264554
bible,10,gov,50,gov,42.697459842467254,-41.22918516258385,10.120627110430023,55.96980586028023,42.644856631487706,5.3888774341230565,6.235491850792944
