,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,"[-0.5, 0.5, 1.0]",0.0,[0.5],2.550810288737564,[-1.0],7.763995120537468
kfold,[-0.5],0.08349060764588481,[0.5],9.945463414044516,[-0.5],175.52687399126916
