language to,c0,"c1,1","c1,2",rmse,kfold rmse
ka,6.024753086419754,0.8425123456790121,-0.020598765432098758,10.747090734671373,10.753398607819562
gu,9.244105068400597,0.9358919431753829,-0.023330245806777523,10.304275631809173,10.315379774851024
hi,9.771453791639356,0.39579333368144365,-0.0033403822443559424,11.165585641483228,11.172059592993621
si,9.90828305246293,0.5024950124378487,-0.00474274465707557,15.375604224607427,15.381058015260738
ta,8.209075805004002,0.4333375231005783,-0.0040408532906924585,12.271144942083033,12.275315932998131
