train set 1 size,train set 2,train set 2 size,language to,beta,C,cost
1,gov,1,ka,21.20068501801774,-1.6820670145158694,3.7524288306716613
1,gov,1,hi,28.363935604642457,2.9710955507128425,5.840289683360065
1,gov,1,ta,32.64854291414341,-0.028935761271316245,7.315391274787108
1,gov,1,si,42.15867703066525,-3.693771805536488,7.630860052895168
1,gov,1,gu,32.183320006113505,2.6967497743615993,6.030031324590757
1,gov,10,ka,60.46208114914345,-4.785321821764811,8.414525246666651
1,gov,10,hi,51.222148311506395,3.191412172478204,7.835252376029936
1,gov,10,ta,54.65631449874454,0.9908978072844424,11.912294466740535
1,gov,10,si,74.91768445618928,-3.997353928307527,13.878532312677688
1,gov,10,gu,52.27281628962142,3.5416645968329847,7.220293214095949
1,gov,50,hi,61.70765809230992,1.8623197236700928,7.580647666233155
1,gov,50,ta,66.42961840473023,0.7107965279178601,12.7925269447605
1,gov,50,si,92.1404893700124,-5.790637892161697,16.18761717106753
1,gov,25,ka,71.98927702601692,-5.936577103493023,9.12243011576203
1,gov,25,hi,57.31437146779394,2.5772749402483335,7.914911310465724
1,gov,25,ta,62.286752886136064,0.6964242115660857,12.77936251750759
1,gov,25,si,84.96410306434706,-4.785072653263662,15.393534734510494
1,gov,25,gu,60.548037718609685,2.771588895939668,7.7020488256957345
1,bible,1,ka,34.629588399485456,-6.222169381330866,3.5502683062150444
1,bible,1,hi,44.715596316552414,-6.262707783380698,4.968457221214382
1,bible,1,ta,31.10585111277375,-3.2031914711060545,5.492530624312095
1,bible,1,si,42.32023657653126,-5.114770276574776,7.528954576058536
1,bible,1,gu,34.091850826169484,-2.975877073230613,4.001719453765349
1,bible,10,ka,62.49237240915,-10.828817282438362,6.232084114410472
1,bible,10,hi,66.4611342385765,-7.886775886314315,8.195881796936261
1,bible,10,ta,43.758619888069184,-0.667457681885036,9.54559116793736
1,bible,10,si,61.692111792757565,-4.126610440357689,12.196006194179834
1,bible,10,gu,43.83605732065832,0.42306099051696433,6.70637842236282
1,bible,25,ka,76.42605512400067,-13.630498538629258,7.404892554674641
1,bible,25,hi,74.50508638774097,-8.348755835030852,9.53294051316707
1,bible,25,ta,52.43256893857418,-1.2502329389198978,11.193502653854459
1,bible,25,si,70.91822568364137,-5.603645560920554,13.793996679427234
1,bible,25,gu,55.154350133614784,-1.412576281990336,7.782031269436783
100,gov,1,ka,-44.03158139679663,25.403661321650826,7.628032546026496
