train set 1 size,train set 2,train set 2 size,language to,beta,C,cost
100,gov,1,hi,-74.61636373590493,37.869441641931516,8.47893893804135
100,gov,1,ta,-44.40124764768977,22.271503641725488,10.36122474492956
100,gov,1,si,-126.92676708519873,68.44784576222825,7.655389754395384
100,gov,1,gu,-50.76267622136518,30.88586637457027,9.13910583101349
100,gov,10,ka,-78.44053454235807,45.29491756980937,10.70351296686203
100,gov,10,hi,-111.86588721576821,57.962799201376704,11.069180635535854
100,gov,10,ta,-64.98927770304398,34.35764444508477,14.367746845589574
100,gov,10,si,-194.54259401148283,106.20160450069976,11.519769414745676
100,gov,10,gu,-89.97262395927342,54.00657219420202,11.507128406596559
100,gov,50,hi,-140.57138306913933,72.55165634076512,11.272604639319432
100,gov,50,ta,-85.5551329634251,45.13313768617855,15.612668435688215
100,gov,50,si,-227.85874850943907,124.96636803487722,13.871513286066003
100,gov,25,ka,-89.70709398363137,51.913189962498784,11.553780723110993
100,gov,25,hi,-122.72899937113431,63.58101163018766,11.781882315614943
100,gov,25,ta,-73.80525881898635,39.24812257541558,15.461019530004979
100,gov,25,si,-216.4216255560203,118.06788742086887,13.019283051079807
100,gov,25,gu,-95.65594550119799,57.511458214861946,12.622721191156948
100,bible,1,ka,91.33391513609206,-34.8947384433241,1.5069705178535469
100,bible,1,hi,138.849768403202,-47.21899687686142,3.143810751059804
100,bible,1,ta,130.6225414660462,-43.943404581066204,1.6571108032225035
100,bible,1,si,117.86630004416133,-39.47329282925308,2.263917384810573
100,bible,1,gu,83.60059766637073,-28.918184115168476,2.9142373995548194
100,bible,10,ka,137.92987281595765,-51.62418626299878,2.8956646800385673
100,bible,10,hi,196.3621206773048,-66.24881443113175,4.740419791353546
100,bible,10,ta,191.90713457480217,-63.38040593480157,2.558294224667218
100,bible,10,si,169.33907962205845,-55.62450412283835,3.5000908114245406
100,bible,10,gu,117.19395782194405,-39.17452895086001,4.320167083504766
100,bible,25,ka,163.52273361153965,-61.350529747368796,3.3679041346167695
100,bible,25,hi,228.19195009269743,-77.23916090846485,5.5294455934651285
100,bible,25,ta,217.01853437780082,-71.51730433203144,2.8049046619124125
100,bible,25,si,187.2791989947634,-61.4912200704605,3.903572735951195
100,bible,25,gu,133.11781879905618,-44.374615223060275,4.970621241379505
10,gov,1,ka,34.43259137170861,-1.852003601937548,5.419224707263375
10,gov,1,hi,32.19440072487997,1.3566290113157502,5.440400032013447
10,gov,1,ta,37.46938879470535,-1.4463319483416275,7.5052173066223355
10,gov,1,si,47.01388607784017,-4.133782316992263,7.711562269691063
10,gov,1,gu,34.69390601063082,2.586927407329508,5.995105693172567
10,gov,10,ka,57.83125752365616,-1.7222445325711861,7.795142734083605
10,gov,10,hi,45.28761553533884,6.586105775668749,7.668461603323174
10,gov,10,ta,53.525441223099456,2.795682254671246,11.889689206980966
10,gov,10,si,70.6008343650023,0.6547639143706028,13.89913506424294
10,gov,10,gu,48.79143937271667,6.3191140229291936,7.186778047706996
10,gov,50,hi,54.20952769322524,6.220604744476967,7.579397082279026
10,gov,50,ta,63.2499131106792,3.4522814526112433,12.780080764697992
10,gov,50,si,83.76055802912374,1.1306068146478905,16.083216946107317
10,gov,25,ka,65.87692988174109,-1.9028149013349163,8.719979822586044
10,gov,25,hi,51.152671260126255,6.317114854161093,7.953705667966041
10,gov,25,ta,59.65584218044951,3.100945363367281,12.63761162219541
10,gov,25,si,76.95347050043796,1.9707164419505054,15.378928501582406
10,gov,25,gu,54.707248833929505,6.345179098887169,7.540479039104722
10,bible,1,ka,39.021949038764454,-4.65122700006404,4.098015167986891
10,bible,1,hi,43.204118746437466,-4.204768894252831,4.645648374007764
10,bible,1,ta,31.01890978675943,-2.1614948606918083,5.335411808856487
10,bible,1,si,41.88742408976334,-3.388288581387174,7.310334206045243
10,bible,1,gu,37.99526316315298,-3.318041986279266,3.5863851557874797
10,bible,10,ka,59.28353568776474,-6.619725524579046,6.217884386749456
10,bible,10,hi,62.46666633580701,-5.043194870415739,7.304714127933205
10,bible,10,ta,42.01976161201583,1.0842570831160856,9.058179865944071
10,bible,10,si,56.74104072424618,-0.14519426957777953,12.045225971161226
10,bible,10,gu,45.20939260059846,0.7193179382200472,6.046860273347714
10,bible,25,ka,70.36045526512648,-8.341241383102918,7.269810265716218
10,bible,25,hi,72.36589422024815,-6.000820707285872,8.580123877772138
10,bible,25,ta,49.91059950399186,1.3573674779872116,10.755067957139318
10,bible,25,si,64.16919662994523,-0.6234320818028942,13.405192241615097
10,bible,25,gu,54.150797685563994,-0.5375324603916505,6.60743395054394
50,bible,1,hi,44.20877245792281,-4.148821862412956,4.503321676416044
50,bible,1,ta,31.909641888321055,-1.855563408282038,5.333280837578451
50,bible,1,si,43.8714965533619,-3.2863970967639093,7.531275376999155
50,bible,10,hi,62.24428116901126,-4.720104815561724,7.132675469568882
50,bible,10,ta,42.57307476556449,1.5275537765141523,9.178739618605453
50,bible,10,si,57.93116706252593,-0.025476235666363235,12.010567378257152
50,bible,25,hi,71.52752813823376,-5.242473165374093,8.56590774318224
50,bible,25,ta,49.13803118494066,1.9024467263450915,10.595566827977043
50,bible,25,si,65.47161448845792,-0.6432881486376456,13.274022328900669
25,gov,1,ka,9.980273399804648,1.3379717579649855,7.43283552590206
25,gov,1,hi,17.5560882431324,2.7418771430591984,7.135412405028997
25,gov,1,ta,9.421917337507486,1.0464464799664437,9.714170951171461
25,gov,1,si,13.484183505245747,0.36939515917941873,11.079138940431504
25,gov,1,gu,14.033135831619001,5.072767780610849,8.209032692979092
25,gov,10,ka,21.41351267319672,3.2946439640874705,11.308576516441892
25,gov,10,hi,18.004292587757252,9.49480014744039,10.310473666510182
25,gov,10,ta,4.560566266730716,7.601030179697577,14.69912570146486
25,gov,10,si,3.2420216785321685,9.716896629931497,18.269557658538908
25,gov,10,gu,23.78360242045029,9.690801647606644,10.991989923597224
25,gov,50,hi,28.412337404871554,9.54415018613069,11.158052872935578
25,gov,50,ta,9.440989315021513,9.460127544398715,16.158961062933077
25,gov,50,si,3.730064529480225,12.061413010780903,21.377481184190287
25,gov,25,ka,27.33831244513579,2.6517575204885566,12.440024915683951
25,gov,25,hi,21.20124596543955,9.99853881524708,10.978224594205624
25,gov,25,ta,3.9401074820132376,9.339319633043136,16.11940577840642
25,gov,25,si,0.8967627592248595,12.198883068753402,20.27177492035973
25,gov,25,gu,26.987766294580062,10.196563651420542,11.92908037214535
25,bible,1,ka,15.832058913112338,-1.9422494031446431,5.855581687738324
25,bible,1,hi,29.86923822138778,-4.293920025747102,6.3640336329530225
25,bible,1,ta,12.677226954019197,-1.2401630904949108,7.3233184236433955
25,bible,1,si,83.27178726486102,-28.216021076564548,9.6146393057331
25,bible,1,gu,56.491996949830735,-14.675425556422102,5.1860356187890115
25,bible,10,ka,16.43335131894721,-0.8695117829463613,10.113792737343994
25,bible,10,hi,30.6592787226147,-3.0354254654177972,10.328599219061628
25,bible,10,ta,2.733418120839569,3.6160303242056284,12.993256391763216
25,bible,10,si,137.97961032771414,-48.27054847225324,17.23448314655851
25,bible,10,gu,82.91976176190806,-21.19890346070852,8.348753636656328
25,bible,25,ka,18.04894656203681,-1.3044712488975239,12.151807077829076
25,bible,25,hi,28.059737230734914,-1.9001950413971687,12.605412324239468
25,bible,25,ta,1.240991788477372,4.660361057656375,15.213670582535705
25,bible,25,si,152.18044751505386,-53.472918065416096,18.96113496249423
25,bible,25,gu,96.63405085386789,-24.976736368495743,9.613447876984516
