train set size,test set,c0,c1,rmse,kfold rmse
1,flores,14.988669423691434,-2.4546324586533492,2.3349922772939493,2.373397413594504
1,bible,3.8362411895729434,1.2357671294334514,8.375434715434992,8.577011063966165
1,gov,4.5333536501107625,1.143041755460471,9.598469464209924,9.796004217506617
10,flores,36.6707714261094,-2.440021816415051,5.279425015225449,5.373956241237842
10,bible,7.896361354133315,0.9250182379474117,13.050274601716968,13.364616247005477
10,gov,7.139295915680449,1.3565819521003941,16.87507910266137,17.25423553385558
25,flores,37.45817093994494,-2.2037285894973895,6.361727345782273,6.473847591181591
25,bible,9.817825428922456,0.8164056160650681,14.875324066937317,15.226259717236061
25,gov,7.250622499491527,1.487350757671732,18.72878322321393,19.14699356171239
50,flores,97.31710717839725,-2.813831249587078,1.4129713832560173,3.140937384237526
50,bible,65.11343708548,-5.0276630595429825,0.18359327967620126,0.4830214940140571
50,gov,14.008731303035376,1.5837811600205363,1.655814061853935,3.2795782978390537
