,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,"[-1.0, -0.5, 0.0, 1.0]",0.0,[-1.0],7.313108503383914e-09,[-1.0],6.032323151315291e-08
kfold,[0.5],5.740738717335382,[-0.5],1190.355241363722,[0.0],4762.895441378986
