train set size,language to,c0,c1,rmse,kfold rmse
1,ka,-4.593694839551115e-09,-3.542383614788801,3.5122084594103073,3.2474891576746105
1,gu,-1.6929149057121174e-09,-7.1637531673903005,5.186637585604985,4.975342261138418
1,hi,-4.398367974647126e-09,-6.903829643839046,4.473883755158384,4.270540373107681
1,si,6.583578272417297e-08,-8.259364963903222,5.191645633989757,4.937598807874389
1,ta,-1.9873015639899994e-09,-6.096720588414511,4.58807917574042,4.369612483769744
10,ka,-1.1469107743072031e-10,-9.849784130264819,6.181659329384544,6.004966420368112
10,gu,-4.975551888731777e-10,-12.012668960051933,6.635232529945636,6.6123756463572665
10,hi,3.6044748900321e-08,-11.404986856286671,5.861389693466217,5.675614677462016
10,si,-8.684116224542178e-09,-14.052053562119058,7.209848775253996,7.0477373794901785
10,ta,-5.64149996148089e-09,-10.735336129078476,6.016253189473334,5.85344835977905
25,ka,2.57929930078321e-08,-11.373214561882158,6.687650081217815,6.520193376037471
25,gu,-1.679540608149859e-09,-13.509414807966632,7.266063886915319,7.232499332604367
25,hi,-3.740171797699257e-09,-12.841270972392806,6.251539211492081,6.078043489249388
25,si,-5.902007378365018e-09,-15.833946506678993,7.8189352088079325,7.661616604485866
25,ta,-6.548217246472028e-09,-12.140847458113917,6.103983279123113,5.944623884752599
50,hi,-1.3423711624537837e-08,-16.392369936463012,5.083415099312624,9.827580637166129
50,si,-6.768571903335227e-09,-18.177978491435173,6.645370254449483,20.644104583497604
50,ta,-8.134987240568561e-09,-14.918228537044056,5.203735140970766,16.484083034469524
