,expr,splits,vars,model,trial,mean,min,25%,50%,75%,max
0,1A,,size1,linear,size1:linear,13.965495106861345,4.1023203976182695e-15,0.5196152422711512,1.6839382851364095,11.004252643000992,101.66577970769592
1,1A,,size1,poly2,size1:poly2,119.66257328525411,0.1685185185186171,15.00297499041226,64.71747548177512,196.3798587511928,518.8619065248441
2,1A,,size1,poly3,size1:poly3,566.9107617580183,8.311807936110121,85.95557424137802,236.77526597375854,810.4100009787086,3182.497172134902
3,1A,,size1,exp,size1:exp,7.363364015894556,0.002497542717332,0.538004941561695,1.5848463499497432,7.405202315430321,50.30039761274261
4,1A,,size1,log,size1:log,1.6595206819848598,0.0005946682738653,0.09249497672511298,0.2388712171853829,0.8963105155684826,13.942174498818051
5,1A,,size1,power,size1:power,10.168828997745402,0.000399072544687,0.09843225669363465,0.25773223664342415,1.6703940933101866,132.70636999862683
6,1A,,size1,mult,size1:mult,10.168828997745402,0.000399072544687,0.09843225669363465,0.25773223664342415,1.6703940933101866,132.70636999862683
7,1A,,size1,hybrid_mult,size1:hybrid_mult,11.132094736534844,0.0001829219186249,0.12753565867990468,0.28294103304872054,1.6474812393951475,141.6570947820706
8,1A,,size1,am,size1:am,13.965495106861345,4.1023203976182695e-15,0.5196152422711512,1.6839382851364095,11.004252643000992,101.66577970769592
9,1A,,size1,gm,size1:gm,13.965493637244647,9.173067274558416e-15,0.5196152422708282,1.6839382851364078,11.004252643001026,101.66577970326225
10,1A,,size1,hm,size1:hm,13.965495106861345,4.1023203976182695e-15,0.5196152422711512,1.6839382851364095,11.004252643000992,101.66577970769592
11,1A,,size2,linear,size2:linear,4.334198750892459,0.0769800358919501,1.2605480877306827,3.92829985548241,6.803110671951105,14.106591577199843
12,1A,,size2,poly2,size2:poly2,47.76690766533485,1.226312864484343,9.025000000000002,18.605658625927003,58.84722321477686,202.4902919955328
13,1A,,size2,poly3,size2:poly3,1257.0222431519476,2.980551311654804,100.80258396271478,517.1011626555407,2675.7928215004204,5518.346224172757
14,1A,,size2,exp,size2:exp,10.456614488400254,0.0548152570772711,3.3132847007935995,8.393839690916531,14.905487046893228,59.79835608316176
15,1A,,size2,log,size2:log,0.45920258215770926,0.0023786730954553,0.1602308715158228,0.3441880182317529,0.651464775816931,1.6465679070654922
16,1A,,size2,power,size2:power,0.9905010113077034,0.0013614180566096,0.29673279140102354,0.6407081526640357,1.6653732112695645,4.7050661600150425
17,1A,,size2,mult,size2:mult,0.9905010113077034,0.0013614180566096,0.29673279140102354,0.6407081526640357,1.6653732112695645,4.7050661600150425
18,1A,,size2,hybrid_mult,size2:hybrid_mult,3.7897222052060373,0.0056004099410295,0.4675638891678638,2.645048715226932,6.321852964469494,20.799322958049757
19,1A,,size2,am,size2:am,4.334198750892459,0.0769800358919501,1.2605480877306827,3.92829985548241,6.803110671951105,14.106591577199843
20,1A,,size2,gm,size2:gm,4.33419875044113,0.0769800358919502,1.2605480877306823,3.928299865919596,6.803110671950941,14.10659157719985
21,1A,,size2,hm,size2:hm,4.334198750892459,0.0769800358919501,1.2605480877306827,3.92829985548241,6.803110671951105,14.106591577199843
22,1A,,size1+size2,linear,size1+size2:linear,1.7104945318907085,0.0623450104911286,0.405991953386838,1.6806328577767407,2.370648285994415,6.009419266029123
23,1A,,size1+size2,poly2,size1+size2:poly2,0.5352391050774017,0.0288675134594811,0.1097704220226654,0.22265546013951681,0.6881994556908954,2.8274979431832152
24,1A,,size1+size2,poly3,size1+size2:poly3,0.24017383057879194,0.0288675134584822,0.09449300442154512,0.1630552643192305,0.26654339721308573,1.5059680704125606
25,1A,,size1+size2,exp,size1+size2:exp,1.990394074896095,0.1178142969015843,0.5477738781503835,1.9524175899994805,2.7787140028129578,6.543399470539367
26,1A,,size1+size2,log,size1+size2:log,0.41096960846179326,0.0446629841779082,0.15149617119144634,0.3004137434662334,0.5142271843026169,1.5372390820006891
27,1A,,size1+size2,power,size1+size2:power,0.7933747503345566,0.0570319870282939,0.24768934853878355,0.6854638600184398,1.0834535724575651,2.8119493252983143
28,1A,,size1+size2,mult,size1+size2:mult,0.6617007767588875,0.0653908962176139,0.2057564065560384,0.4831538604214957,0.8758871908599541,2.293948872491634
29,1A,,size1+size2,hybrid_mult,size1+size2:hybrid_mult,1.4913169807888296,0.0623853076588464,0.2374398681831856,1.1732925353633292,2.1860664118285493,5.481176198503968
30,1A,,size1+size2,am,size1+size2:am,2.868547055387778,0.1239413137749802,0.7650786886579223,2.383337811871286,4.952307313722239,8.345556294750846
31,1A,,size1+size2,gm,size1+size2:gm,2.584575209078543,0.1042916451924854,0.6068605267470566,2.099464666773546,4.249296154699996,8.176888684687658
32,1A,,size1+size2,hm,size1+size2:hm,2.5998860447987857,0.1011145427050722,0.5411794031349357,2.1982790682802795,4.051252703945803,8.524098067877913
33,1B,,jsd1,linear,jsd1:linear,13.976983743453458,1.891672306503554,9.517717317412105,12.093229449526666,16.877944503591603,39.65603298066822
34,1B,,jsd1,poly2,jsd1:poly2,13.839084634973057,1.7730621084610931,8.2897114134195,11.372064181994649,16.27988277690984,72.05488973201678
35,1B,,jsd1,poly3,jsd1:poly3,13.698611172371155,1.6900852952837166,8.919369359780116,11.310356885339903,16.47616677129449,92.25889696985992
36,1B,,jsd1,exp,jsd1:exp,7.870757494469265,0.1411151338208087,2.9292724996789548,7.442219368555073,11.477576080590474,21.50618455931142
37,1B,,jsd1,log,jsd1:log,20.48176411734862,2.1523241908587813,10.104660230894586,15.111770366417076,24.687551670156324,79.51771380468442
38,1B,,jsd1,power,jsd1:power,8.053898536603068,0.6338259139100368,3.4365144307178306,7.207866685923864,11.31034788286563,21.54950742657045
39,1B,,jsd1,mult,jsd1:mult,8.053898536603068,0.6338259139100368,3.4365144307178306,7.207866685923864,11.31034788286563,21.54950742657045
40,1B,,jsd1,hybrid_mult,jsd1:hybrid_mult,12.211358447635117,5.517569745731504,9.782083978322431,11.937951523263964,14.500391133145497,22.070027460667557
41,1B,,jsd1,am,jsd1:am,13.976983743453458,1.891672306503554,9.517717317412105,12.093229449526666,16.877944503591603,39.65603298066822
42,1B,,jsd1,gm,jsd1:gm,13.976983741639563,1.89167230650356,9.517717317412105,12.093229449491684,16.87794450359162,39.65603298066821
43,1B,,jsd1,hm,jsd1:hm,13.976983738099879,1.891672306503554,9.517717317412105,12.093229449526666,16.877944503591603,39.65603298066822
44,1B,,jsd2,linear,jsd2:linear,6.28221738723352,0.0672805325047792,2.8527887775329424,4.959071669853989,7.402019686938898,21.441357409898718
45,1B,,jsd2,poly2,jsd2:poly2,6.640412564165841,0.1431257856361645,2.6753333065629046,5.523932742935678,8.274793093386691,21.68343605159329
46,1B,,jsd2,poly3,jsd2:poly3,6.622242109939336,0.1235300290975865,2.2077973816407734,5.773852372484521,8.215369961870048,21.93653675773229
47,1B,,jsd2,exp,jsd2:exp,7.180730518604018,0.0029706949189544,1.9514331692859574,3.240203293693997,6.402841266921367,96.541172352548
48,1B,,jsd2,log,jsd2:log,5.238991309457338,0.1963197669560533,1.9561053550784782,3.7646792773324957,5.569383326695917,21.792181559333017
49,1B,,jsd2,power,jsd2:power,63.714244017084134,0.0240754982770747,1.3771940139514927,3.5413708673392366,9.839769667563154,4466.378884088651
50,1B,,jsd2,mult,jsd2:mult,63.714244017084134,0.0240754982770747,1.3771940139514927,3.5413708673392366,9.839769667563154,4466.378884088651
51,1B,,jsd2,hybrid_mult,jsd2:hybrid_mult,25.853379914554054,0.025614396655012,1.8995187656810484,4.063508733970803,11.745786380664043,696.9319315836193
52,1B,,jsd2,am,jsd2:am,6.28221738723352,0.0672805325047792,2.8527887775329424,4.959071669853989,7.402019686938898,21.441357409898718
53,1B,,jsd2,gm,jsd2:gm,6.282217387185473,0.0672805325047751,2.8527887775329424,4.959071669853991,7.402019686938898,21.441357409898718
54,1B,,jsd2,hm,jsd2:hm,6.282217387128338,0.0672805325047792,2.852788777309269,4.959071669853996,7.4020196869389,21.441357409898718
55,1B,,jsd1+jsd2,linear,jsd1+jsd2:linear,5.101593168111158,0.8091328276016508,2.672345867833116,3.485114018486544,5.219895370437572,22.14185232956592
