model,multi factor,multi variable,overall linear,sliced linear
linear,296.13%,99.38%,98.85%,100.00%
poly2,296.13%,99.38%,98.85%,100.00%
poly3,296.13%,99.38%,98.85%,100.00%
exp,296.13%,99.38%,98.85%,100.00%
log,296.13%,99.38%,98.85%,100.00%
power,296.13%,99.38%,98.85%,100.00%
hmult,296.01%,99.34%,98.81%,99.96%
