model,pareto,rawlsian,1k,10k,25k,50k
linear,True,True,8.102821365062706,13.569542980162831,15.195792447718445,17.36560847083469
poly2,False,False,8.102821595828688,13.569542694005976,15.195791972908347,17.365608584382795
poly3,False,False,8.102821469107903,13.5695408013402,15.195790685649255,17.36560878965864
exp,True,False,8.102821521541134,13.569542294125275,15.19579027349115,17.365608550254322
log,True,False,8.102821503856093,13.569541649995172,15.19579147410336,17.365608632390103
power,True,False,8.102821269871077,13.569540951769977,15.19579203147164,17.36560850521296
hmult,True,False,8.101667450864621,13.560444312176587,15.185111804651322,17.3656086373564
