model,pareto,rawlsian,gov-1k,gov-10k,gov-25k,gov-50k,bible-1k,bible-10k,bible-25k
linear,True,False,8.32961728430838,14.089991798378843,15.481207207495128,17.36819619436629,7.84944662072228,12.422218620691586,14.240475799192115
poly2,True,False,8.329825890069744,14.090554356883398,15.481326511703475,17.3690812098329,7.848891457093404,12.41983540219612,14.237533374065023
poly3,True,True,8.330419080960898,14.089595437106237,15.482199775783604,17.366692409226488,7.848223827985303,12.420850674471282,14.239718805660573
exp,False,False,8.340954224747202,14.123217062656966,15.517802260594667,17.408951646735414,7.849049072425577,12.424575350619069,14.245274520965893
log,True,False,8.335302796863727,14.08996923304787,15.476884961571518,17.37688353891921,7.850960685550637,12.42447973595248,14.246354062414444
power,False,False,8.351043093801934,14.137709608548905,15.536068827409377,17.46791428267208,7.862630520143009,12.450477204845612,14.27375439662868
hmult,False,False,8.34190905824561,14.131252632947684,15.531758266556205,17.449776877331296,7.85809428366611,12.442930592356868,14.26584451472704
