train set 1,train set 2,test set,language to,c0,c1,c2,rmse,kfold rmse
cc_align,gov,flores,ka,5.489729613195757,0.14419104776532807,0.5637371626225813,1.2397330455731803,1.8999613344799309
cc_align,gov,flores,gu,10.303526776050658,0.15508889342047438,0.5639678511731896,1.6363721065378563,2.5543045479867104
cc_align,gov,flores,hi,9.335464377000086,0.18543035938381852,0.45641655767815453,1.2066560618210316,1.4183437700702917
cc_align,gov,flores,si,5.781090362122642,0.18421744151196282,0.3774744214014621,0.9402098653654293,1.158171494085655
cc_align,gov,flores,ta,3.5936758347862896,0.19637207933954873,0.4005559616296399,0.6777464231898529,0.8562162415422612
cc_align,gov,bible,ka,-0.5058557365812157,0.0659792185596481,0.2229910878466324,0.0883536779395909,0.107302747356099
cc_align,gov,bible,gu,1.3199448124416249,0.09324893898131124,0.2795840800175599,0.13927220592674805,0.22837133192928502
cc_align,gov,bible,hi,0.29941302976644807,0.12559110903829507,0.24753819291943724,0.3896095238262689,0.41929056516768254
cc_align,gov,bible,si,-1.2011950002017582,0.18940318564251302,0.18082642345437236,0.14645337304838996,0.14845673987530245
cc_align,gov,bible,ta,-0.5996585774435038,0.1472612006116299,0.25066397459355905,0.2914754136787773,0.3472753222406386
cc_align,gov,gov,ka,19.35183236176357,0.12949341273647916,0.7037730500005347,2.5180618360648315,3.9780352024769274
cc_align,gov,gov,gu,24.806770237699002,0.10728388669605383,0.6974293992765167,2.0069215536336977,3.2303031731294176
cc_align,gov,gov,hi,23.947620006463545,0.1365135313935721,0.5482608532836083,2.6377980446522864,3.3243785598892086
cc_align,gov,gov,si,30.030879778323147,0.1535075189555618,0.6389210545094982,4.011461169900262,5.107800474425885
cc_align,gov,gov,ta,25.134558755185555,0.1445023353038365,0.5880486866085488,2.949999336151133,3.7944789246872963
cc_align,bible,flores,ka,-0.3737132094869511,0.10647787033428291,0.20631534343319702,0.16830654304500745,0.23822499978143588
cc_align,bible,flores,gu,1.158655350235751,0.14408354290006842,0.2797471993331949,0.20335165817175188,0.23962256981162747
cc_align,bible,flores,hi,0.8637750145636613,0.12065550697117622,0.18289214501650103,0.1333355825630335,0.15904829327390646
cc_align,bible,flores,si,-0.339079379122601,0.12659278121834336,0.15875961240439596,0.13475988100078462,0.14010569094494904
cc_align,bible,flores,ta,-0.3095880218012536,0.1546201776845545,0.20071357361701742,0.09842133205455007,0.11996063996342425
cc_align,bible,bible,ka,14.895613408360745,0.10251361074008628,0.7080171235301229,1.5214677674801729,2.425835366185939
cc_align,bible,bible,gu,16.65077812493074,0.08548597625783119,0.681044019883467,1.233708946744711,1.9630355137929685
cc_align,bible,bible,hi,19.201455440691667,0.09769504638889605,0.6964996498572498,1.3644018030964369,2.106143427042753
cc_align,bible,bible,si,23.4073978128434,0.12278422023265943,0.7098008726083519,2.1575314684252143,3.4978528340903607
cc_align,bible,bible,ta,18.01279870822515,0.09916443770396696,0.7081981961064077,1.6662022841261348,2.692674274031714
cc_align,bible,gov,ka,-0.7350929359745206,0.08868264217847217,0.06440617052159614,0.06139791189015506,0.06238530765884649
cc_align,bible,gov,gu,0.27843829840339834,0.1218573829076943,0.26390161973774706,0.15377528845700275,0.22212490799108053
cc_align,bible,gov,hi,0.23841613234273346,0.09931142170998539,0.1355330695802632,0.05680721557574892,0.08564660448568884
cc_align,bible,gov,si,-0.6811748188072119,0.09927847799532993,0.16425402477916132,0.09869228931463742,0.12711079986089566
cc_align,bible,gov,ta,-1.305382848751246,0.16183384359084607,0.1635657306875924,0.07322334576956528,0.07978580497955452
gov,bible,flores,ka,0.10775773810970823,0.1321057313339612,0.22999482708356545,0.2143171791568335,0.2566361145435429
gov,bible,flores,gu,2.4456094429159694,0.04291058943939664,0.4135484560751451,0.27869395294536625,0.29387430317943974
gov,bible,flores,hi,1.5200994341268077,0.044711239227975964,0.236273394837472,0.17017375775920748,0.17608396336604212
gov,bible,flores,si,0.18120494504214568,-0.0034389833296149335,0.2680443915582454,0.22870885812133868,0.22876368381815498
gov,bible,flores,ta,0.21527392207656387,0.027381811168388264,0.27021923355777194,0.1179103201389904,0.11815719097448336
gov,bible,bible,ka,15.371734839119563,0.06527983939965551,0.7759980040130534,1.794619717585374,1.9751172375650026
