train set size,test set,c0,c1,rmse,kfold rmse
1,flores,2.810037022424482,1.3458652655571385e-08,2.3758990507387767,2.3906232402779386
1,bible,8.869908867663979,-5.387906539716993e-09,8.402744142323257,8.437191408487578
1,gov,9.835553064628957,-7.3583385569181515e-09,9.625583850783082,9.656596033464826
10,flores,7.008671407626785,-8.086441422291924e-09,5.395093569551383,5.425956082347452
10,bible,14.828071822933238,-4.135803902164087e-09,13.077864591782228,13.162254567138316
10,gov,17.979916075036765,-9.529495682748358e-08,16.946403996091746,17.07949042216691
25,flores,8.398375863118417,-5.3786081785318165e-09,6.4751189217915,6.505669511924758
25,bible,17.077267563449748,-5.642577997354068e-09,14.900767789269938,15.01145433168156
25,gov,19.999187149175064,-2.536760819833519e-08,18.824161320767857,18.97293976101263
50,flores,14.150111628160294,-0.00011985081069662215,3.4189389463401563,3.6820473639967983
50,bible,2.1166244375059584,-8.023361798548401e-10,0.8744863903836539,0.9736225254920177
50,gov,42.28336547667349,4.437402183666341e-09,5.337107738181899,6.403556439209083
