train set,language to,c0,c1,rmse,kfold rmse
gov,ka,22.326826524496397,0.3395264081644599,10.921850500730727,11.143032347012321
gov,gu,24.36497429139055,0.19944182689668138,11.697526266260919,11.925241956714167
gov,hi,20.625609482550672,0.18341797597592008,11.921999717193009,12.116396662641847
gov,si,22.1757114505133,0.209791062173305,17.408459570738003,17.65852150444707
gov,ta,18.44286706523535,0.20573396956899623,14.364187456552811,14.583951337917629
bible,ka,12.816294536523085,0.26171786148851983,10.046171779388207,10.332899886863396
bible,gu,13.674407205337738,0.18571449674601118,9.89533254961354,10.076420927133539
bible,hi,14.004067308618241,0.17299236085519604,11.788278129762757,12.001068820496616
bible,si,15.897410613154104,0.18299972237569698,14.670864279518188,14.929935303545408
bible,ta,13.313124291819923,0.20817219625890557,11.589620443236978,11.79889886770644
