train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.329537969482313,-6.604245503538032e-10,-0.0026993808486956345,8.793204082953496,9.169897506901922
1,gov,6.366072216888091,1.2521421367632148,-3.147815221935799e-09,10.022782859021747,9.761600951041272
10,flores,4.583403027250163,1.8023107229458135e-05,-3.433077331926145e-09,5.936150556677535,5.671874608942302
10,bible,12.326091512361549,-2.9393045163267674e-09,1.0420245213583385e-05,13.317286244698758,13.692763689186036
10,gov,14.95048960225689,7.1121992914105426e-09,-0.012681365987236272,17.22491181294291,16.97381405327568
25,flores,5.990843875157085,-2.5551869201993365e-09,0.00047621429385280833,6.926102442019348,6.716534980308803
25,bible,14.07081168458644,-8.081720834011068e-10,-0.0024831995263385753,15.211687555047314,15.523210777406856
25,gov,15.597083734119332,3.4427797393414186,-5.314996415324151e-09,18.97718564893273,18.827612112953627
50,flores,9.963617811440342,2.3614395871987828,-1.7854547520436503e-09,4.566669943226462,3.768066491783995
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.83018414525787,6.453684315505065e-05,-6.606513012442491e-11,5.894723976539372,5.9201307644441945
