model,multi factor,multi variable,overall linear,sliced linear
linear,76.01%,61.67%,61.67%,100.00%
poly2,77.57%,62.93%,62.93%,102.04%
poly3,59.54%,48.30%,48.30%,78.32%
exp,225.61%,183.05%,183.05%,296.80%
log,77.83%,63.15%,63.15%,102.39%
power,10646.38%,8637.75%,8637.75%,14005.74%
hmult,630.81%,511.80%,511.80%,829.86%
