model,none,train,test,train+test
linear,13.714013184943402,13.264161189603303,11.972798404583969,3.9190511567219986
poly2,13.713091578320311,13.264086350212057,11.977673444602175,3.923382690928129
poly3,13.71239859423178,13.269933646229333,11.986964594134728,3.930090846003349
exp,13.714040563760488,13.26296823861695,11.971191401176535,3.9187307153343447
log,13.71402169400073,13.264142676387301,11.972802479370046,3.9194738821944317
power,13.714051652218572,13.264159994760105,11.971543438620602,3.9213620916518503
hmult,13.713488401752343,13.261572933181425,12.00601730674167,4.041722393579113
