model,log likelihood,R2 coefficient,normality pearson p-value,normality shapiro p-value,homocedasticity levene p-value,homocedasticity bartlett p-value
linear,-3.854451649779702,-0.0032798694149811514,,0.08933863043785095,,
poly2,-3.443575840506382,0.23711097493996836,,0.018676921725273132,,
poly3,-3.1892623459499454,0.35608273621264885,,0.11712724715471268,,
exp,-3.751275048215544,0.06341022427677234,,0.06717830896377563,,
log,-1.287878090191535,0.8187312490987321,,0.7814741134643555,,
power,0.4109931814668182,0.9415950939588311,,0.6108623743057251,,
hmult,-0.14876545730102486,0.9151765260698834,,0.8923611044883728,,
