train set size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,5.554486237891438,1.1088839822605827,-5.652932978472843e-09,0.03066680835593958,8.86430215518665,9.034451992481891
1,gov,7.274230628794475,-4.280027623471972e-09,0.058838703617537826,-0.02814269793026343,9.971730834389614,9.705083312403959
10,flores,4.559327007433999,-4.278650171693499e-09,-1.6619532063571335e-06,-6.619830366899772e-07,5.946239790633702,5.721234278794982
10,bible,12.153270539568783,-3.5003163626856694e-09,-0.054502925462873095,0.07874496201146222,13.351758733789705,13.629815096382044
10,gov,15.567132184379183,0.011244148657779368,-9.750710428216323e-10,0.0008933110229233311,17.12355655607185,16.950882157844585
25,flores,6.141316517488208,-7.301408261493317e-10,0.018605448555233224,0.014245563718270836,6.872296987920052,6.7160877268971495
25,bible,14.549668392521665,6.880202137473354e-09,-0.001185615987253898,0.04937892445037879,15.121514556215383,15.471924209910455
25,gov,17.638360150087127,-1.8047394914061073e-09,-0.0016385834789607204,-0.08129270324865767,18.97672883715052,18.831494288897996
50,flores,11.699512737106824,-7.061158839395467e-10,1.2654868714872083e-07,-1.0793693495287195e-07,4.235457842627222,3.5762358287120097
50,bible,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,34.04379708189624,11.263998389213432,0.003444407764640612,-2.0338135010732787e-09,5.910208577012158,5.5617907359070005
