model,multi factor,multi variable,overall linear,sliced linear
linear,91.76%,30.79%,30.64%,100.00%
poly2,85.92%,28.84%,28.69%,93.64%
poly3,84.85%,28.48%,28.33%,92.48%
exp,91.74%,30.79%,30.63%,99.99%
log,91.71%,30.78%,30.62%,99.95%
power,91.70%,30.77%,30.62%,99.94%
hmult,91.75%,30.79%,30.64%,100.00%
