model,multi factor,multi variable,overall linear,sliced linear
linear,281.31%,94.41%,93.93%,100.00%
poly2,284.52%,95.49%,95.00%,101.14%
poly3,284.94%,95.63%,95.14%,101.29%
exp,281.22%,94.38%,93.89%,99.97%
log,281.29%,94.40%,93.92%,99.99%
power,281.19%,94.37%,93.89%,99.96%
hmult,280.77%,94.23%,93.75%,99.81%
