train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3","c5,1","c5,2","c5,3","c6,1","c6,2","c6,3",rmse,kfold rmse
1,flores,4.690079210562473,2.3554432600475807e-07,-2.475998443360441e-08,4.2806413038769395e-09,4.6359012052275845e-07,-7.586002880712663e-08,-1.837047583618872e-07,1.0823786804246436,2.9417436459689903e-07,-2.740876431467037e-07,5.3231933315917116e-08,-4.765633927515427e-07,-3.21944024671847e-08,9.929557756162548e-08,-3.4915260535347913e-07,-2.8172165881574562,1.901148242602901e-09,7.638529143686114e-08,-1.2981392943089062e-07,2.2155645805670368,2.245129088874827
1,bible,7.797150775794808,2.414212590537095,0.0001585187582159582,3.715687648042464e-05,-1.9135631150191382e-07,5.073014762619069e-07,3.955604364772215e-06,-7.909022554935958e-06,1.1459872519030996e-05,1.1369735489217915e-05,3.758791545849772,1.353654721154389,0.0002433681051643048,1.3580881118452403e-05,-9.431035867098239e-06,-4.148210662813275,-1.0258677355772975e-05,5.0706423765551485e-06,7.479684075792716e-06,8.311342307833794,8.547612231504328
1,gov,8.55915103571659,4.3085955851450475,0.00016599447619831503,-7.554846036828128e-08,3.659790390695622e-06,7.179094982175118e-07,5.468734355345936e-07,5.143954328198553,0.015846268051867233,2.4051611739354496e-06,2.2443875357192,0.0008038902294866375,1.0147049759764527e-05,1.3500819334148693e-06,1.2175029528700673e-06,-5.92353189173095,3.951238839249825e-06,-1.2011492881523443e-06,6.532579063308427e-07,9.470864112644856,9.785612506284057
10,flores,12.32863296810625,2.241664083417653e-07,6.117130270215093e-07,2.5794889900295777e-07,5.805154259392803e-07,1.9865004605613267e-07,-2.6824161905968265e-07,0.019196552862532284,8.74635851270545e-07,3.6192958485709493e-06,-1.1149389998595811e-06,-0.32455790507111615,-4.259773953632245,2.897858407568801e-07,-2.0579537356394718e-06,-4.522898657060272,-0.0058736158511356615,-3.943971927705234e-07,-1.6835768738543036e-07,5.213241742569831,5.3056125335321855
10,bible,13.260573637662846,0.0009750828572994397,-1.809016934229979e-06,-7.03898351609802e-07,3.283816663159776e-07,8.347132090099317e-06,-2.6235060796406672e-05,-1.0905804518514973e-07,-0.009199581214813584,1.4269053669187343e-06,5.764074169352701,1.6156620206064733,0.07004061338075454,-2.8873365759256373e-06,2.271288177225707e-06,-3.7833554961485767,0.0008890145988784997,5.016011331993354e-06,-1.0484586784534502e-06,13.017917880426275,13.494548388413312
10,gov,9.305733876174305,3.1684002671446776,-0.001749511228461047,0.0005903889730689824,-0.0007179354399807402,-2.4428580438433817e-09,0.0004022372466371961,0.00018139635059755978,2.3936714741776502e-05,0.0015924697575380366,6.96675915963837,4.878950609046631,2.9317889846422784,-0.00029920105668450965,-5.9142418037715674e-05,-1.2780780344224714,0.0002509804323656275,-8.455885087090662e-05,-6.123503654417602e-05,16.86910976205738,17.544106410837117
25,flores,15.710338838661636,7.052795805135912e-05,-6.4752865080468395e-06,4.0034802587121625e-06,-4.80998978480598e-06,5.994594991071084e-06,1.3127037733453372e-06,0.3916144338724139,0.03362481730419556,5.723738594181454e-06,-1.69992085855087e-05,-1.1562064912960301,-5.377460937053549,1.1530800730191479e-05,-8.651135710109316e-06,-6.227546114364935,-9.916591461282565e-05,-0.0011304335105977866,-9.569487505480938e-06,6.260273236370162,6.405515184006814
25,bible,14.633888764785862,1.5077702943697628,0.0016707007533970101,-0.00017803321053393192,0.00045547194040214937,-0.002316449340386968,-0.00010621150538420226,-0.0002440518547368367,0.0012341063432198883,-2.0546690765749796e-09,6.178768975279863,1.5882362546967783,-0.0006664982946516796,0.0015233297799302707,0.00012911215058010347,-4.003405703991502,0.0022561246714013663,-0.0001923487919822167,-0.0044555029793981364,14.846536300513423,15.433861255402899
25,gov,9.922577077950008,3.466198390782466,0.0008664001697063683,2.2259215351343594e-06,6.772635492957059e-06,2.854156383023474e-05,-1.5899382222694604e-06,1.2028781404319853e-05,-4.543154089502455e-06,-1.4829792875101311e-05,8.241479905199267,6.42851763920019,4.536481008706368,-6.4180844468868665e-06,1.626512899036236e-06,-2.339648313169539,2.0992370842602084e-05,8.539943510969237e-07,3.6207289683653558e-06,18.716544132444273,19.52691266139187
50,flores,24.64730842647748,-6.128580169695817e-09,4.959024648859264e-08,7.05483338106432e-08,3.4105979762856584e-08,6.650555464785442e-08,-3.2454673335961163e-07,-4.508397619726609,-10.77450008772898,-0.9596940716641056,7.820166722333185e-09,-4.56723533400809,-11.541797946273675,1.0631077140090535e-07,1.339825985139299e-07,-1.2492147382083666e-07,8.117131147456715e-08,-2.6832951196463155e-08,-2.7270717221319827e-07,0.8073200879976529,3.7706704181525894
