train set,language to,c0,c1,rmse,kfold rmse
gov,ka,2.709330411155148,0.5932201450077104,11.197369459697615,11.740406566173137
gov,gu,5.965114739466669,0.40866347397652075,12.179832962239775,12.50526554141969
gov,hi,5.066025202848733,0.37650404290750583,12.354592258271344,12.444507305486267
gov,si,5.060132889108677,0.39392879597977093,17.689159651328374,18.06175720685976
gov,ta,3.7694482155208484,0.4248106862278491,14.672344280049673,14.962115400216813
bible,ka,1.4921391656531264,0.6275314165316538,10.29258585315587,10.192291400977352
bible,gu,2.362161615312245,0.5246784709774905,10.2929643626358,10.617598314500743
bible,hi,2.6306839071538572,0.50178162161955,12.152673966151063,12.002694002090252
bible,si,3.1526531831765143,0.4813429258889202,14.984474406731916,14.838523551435733
bible,ta,1.996002051822467,0.5635558151460328,11.887853109890628,11.761777253124276
