train set 1,train set 2,test set,language to,c0,c1,c2,rmse,kfold rmse
cc_align,gov,flores,ka,3.086398956558223,0.8415720734794893,2.972773954348841,0.3017988011367319,0.3590883814523085
cc_align,gov,flores,gu,8.49200175532553,0.6492127921103514,3.2155961691822563,0.5973689292729113,0.7036014338247532
cc_align,gov,flores,hi,5.5003125803055415,1.1721897509923254,2.809801426163367,0.32201982811628044,0.3407856131254565
cc_align,gov,flores,si,3.329568639417104,0.9377517906284997,1.9301139726455894,0.32693103515620126,0.34419118111348274
cc_align,gov,flores,ta,0.11315679862641101,1.2443244668470355,2.165273106892506,0.2823922846592651,0.30059469193769006
cc_align,gov,bible,ka,0.19174343307085828,0.14426950467037838,0.4222818692671271,0.043735454105104,0.0446629841737607
cc_align,gov,bible,gu,1.7589622598817005,0.24044917140975483,0.6522159992351961,0.09428632670807789,0.10188556472093635
cc_align,gov,bible,hi,0.4392038788801423,0.3246063851074772,0.7275905651925992,0.259370216212569,0.2609836777350454
cc_align,gov,bible,si,-1.5461710659165562,0.6131453923703862,0.550181543041066,0.19884760282871156,0.22140020815775013
cc_align,gov,bible,ta,-0.7843652316153684,0.4508422002778008,0.7878998628377979,0.17741967826235264,0.1794182843096465
cc_align,gov,gov,ka,16.06831456858479,0.7694373457562634,4.88365070438341,0.7087631850309407,0.8610205351743212
cc_align,gov,gov,gu,23.681439872760315,0.2644940908296429,4.310735841730499,0.32497328891451044,0.4285544828825063
cc_align,gov,gov,hi,21.155749265404157,0.46887593081854273,3.8416336506345234,0.8854860677837229,1.0091628244861228
cc_align,gov,gov,si,25.009039888411547,0.5770780467512306,6.098878263193262,0.8004818374586483,0.8816422248239997
cc_align,gov,gov,ta,21.184858121170542,0.6311791017078452,4.657220937344828,0.6771374616208399,0.7865453600024305
cc_align,bible,flores,ka,0.15377503636822337,0.24044917348149383,0.4558117558826047,0.1161119574022712,0.13845660919225353
cc_align,bible,flores,gu,1.2323428155814529,0.4087635873371399,0.806977346612837,0.16440804884018886,0.17229820957830796
cc_align,bible,flores,hi,1.402079366037964,0.26449409135790314,0.4056247113855821,0.11293855143128272,0.11395062644273898
cc_align,bible,flores,si,0.25084038734141545,0.26449409123317535,0.3429088708583758,0.13723922245786063,0.13817715605999947
cc_align,bible,flores,ta,-0.09557317471196063,0.4087635949185398,0.5142555213316108,0.1315422955206278,0.13586389521024966
cc_align,bible,bible,ka,13.046744079640929,0.504943275720731,4.235060064570346,0.2672685672920722,0.27313528429696365
cc_align,bible,bible,gu,16.19423952799752,0.19235934243809802,3.5787157035412025,0.14421476504410916,0.15584269730102893
cc_align,bible,bible,hi,18.106630518058257,0.3366288428740931,3.9716679044200087,0.21725964679926082,0.2652491976036097
cc_align,bible,bible,si,21.35648458898961,0.4808983469629827,4.778932683901473,0.24703930281440972,0.32298054929125525
cc_align,bible,bible,ta,16.909724705027173,0.28853901136164367,4.235203776963719,0.0765969681567627,0.08725780093184685
cc_align,bible,gov,ka,0.1176760968390912,0.1442695045675086,0.10030223107377106,0.061440564506528274,0.06150867337040607
