train set,test set,language to,c0,"c1,1","c1,2",rmse,kfold rmse
gov,flores,ka,0.755555555555556,1.482222222222222,-0.03777777777777777,0.0,3.253288153809195e-15
gov,flores,gu,6.506481481481481,1.3250925925925934,-0.03157407407407411,2.945754565036118e-15,2.9007785717557725e-15
gov,flores,hi,6.894953982039759,0.6593799744330717,-0.0084273074151398,1.1843899482588816,1.1886907592645402
gov,flores,si,3.899854063762827,0.48049526472630855,-0.006299444829979421,0.7187801439197524,0.721390211109053
gov,flores,ta,2.7301713869974606,0.3799731595283993,-0.004215244036549797,0.6334849001746092,0.6357852394924735
gov,bible,ka,0.11666666666666665,0.18833333333333335,-0.005,4.053961296325412e-16,1.3214297116801536e-16
gov,bible,gu,2.0546296296296296,0.2510185185185185,-0.005648148148148146,5.127900497022837e-16,5.4510329996547235e-15
gov,bible,hi,1.070144804032425,0.17130225208831543,-0.0025147467158833418,0.2991722687914885,0.30025863679019815
gov,bible,si,0.21622511600059868,0.06050781728374904,-0.0007032153597039094,0.09519843683914954,0.0955441257540518
gov,bible,ta,0.25618545127974857,0.057959444013552686,-0.0006228313671061763,0.01693126561233197,0.016992747199387606
gov,gov,ka,9.156481481481482,2.920092592592593,-0.07657407407407411,8.204640795236539e-15,0.0
gov,gov,gu,20.876851851851853,1.7665740740740747,-0.04342592592592596,0.0,4.1023203976182695e-15
gov,gov,hi,20.259322978458826,1.0470839928064415,-0.014502949570990482,1.9932572035499114,2.0004952098236997
gov,gov,si,22.52567924065911,1.6609118870376716,-0.0226413946812043,3.0851641066244535,3.0963670938994428
gov,gov,ta,20.487791844610676,1.205259472898836,-0.016151110376581252,2.4753190867387564,2.4843075793913605
bible,flores,ka,0.3064814814814816,0.1984259259259259,-0.004907407407407406,3.3306690738754696e-16,3.1401849173675503e-16
bible,flores,gu,1.7277777777777772,0.27944444444444494,-0.007222222222222236,2.563950248511419e-15,1.8488908177493114e-15
bible,flores,hi,1.3509259259259259,0.1528703703703705,-0.003796296296296308,3.1401849173675502e-15,1.1102230246251565e-16
bible,flores,si,0.663888888888889,0.1397222222222222,-0.00361111111111111,1.5700924586837752e-16,3.3766115072321297e-16
bible,flores,ta,0.6851851851851852,0.11740740740740739,-0.002592592592592592,1.1102230246251565e-16,5.551115123125783e-17
bible,bible,ka,10.572222222222223,1.7705555555555552,-0.04277777777777776,0.0,2.5121479338940403e-15
bible,bible,gu,15.027777777777777,1.3027777777777774,-0.030555555555555537,2.9007785717557725e-15,0.0
bible,bible,hi,17.2212962962963,1.4110185185185182,-0.032314814814814796,5.0242958677880805e-15,5.0242958677880805e-15
bible,bible,si,19.736111111111114,1.9102777777777777,-0.04638888888888889,0.0,1.7763568394002505e-15
bible,bible,ta,14.756481481481481,1.5800925925925924,-0.03657407407407406,5.0242958677880805e-15,0.0
bible,gov,ka,0.22685185185185186,0.07490740740740741,-0.0017592592592592595,1.5700924586837752e-16,2.3551386880256624e-16
bible,gov,gu,1.025,0.1791666666666669,-0.004166666666666674,9.332919779905611e-16,2.5639502485114184e-16
bible,gov,hi,0.8740740740740741,0.12962962962962965,-0.0037037037037037043,1.9229626863835638e-16,1.5700924586837752e-16
bible,gov,si,0.33981481481481485,0.061759259259259264,-0.0015740740740740745,7.850462293418876e-17,1.594436429147036e-16
bible,gov,ta,0.23981481481481481,0.06175925925925925,-0.0015740740740740737,7.850462293418876e-17,5.551115123125783e-17
