train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.742449663924429,-4.53047119621887e-10,-0.001383520500914123,0.000382368703039406,8.680288680826148,9.034992381794453
1,gov,7.7202373399880155,3.0744099524342762e-09,1.0613524263496586e-05,0.050488220820071,9.865564466852975,9.872207323584442
10,flores,4.559211099417606,-3.717688451267372e-09,-7.076594312930173e-07,-3.203206731354713e-06,5.946288615627502,5.716268704161061
10,bible,12.374167917506377,-6.545926455444858e-10,0.002583946521452114,-0.0028454697705329077,13.308166963891892,13.594348274177975
10,gov,15.50826552091052,-2.9801908823747657e-09,3.5388769856565585e-06,4.268614888163904e-05,17.132927768771975,16.956028613570574
25,flores,5.949744538275578,-3.6414996112996467e-09,2.218866217581832e-06,5.374671381680916e-06,6.94087676077848,6.696693677080305
25,bible,14.630797327414431,-1.797592186621073e-09,-5.143653493603498e-08,-1.392838594203186e-05,15.108809393303689,15.44344294997547
25,gov,17.38628973539573,9.860745669931662e-06,-3.798791856003475e-09,-0.015309439456858523,19.00911520179603,18.827648406841256
50,flores,11.798381917479238,3.1228377745988375e-06,-2.8362867883121656e-09,0.005624553128712085,4.1776291545515125,3.570480735523329
50,bible,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.79490660680975,0.029833999848813283,-1.2179306752069713e-09,0.03852438453803145,5.90141906980616,5.608719451977264
