train set,language to,c0,"c1,1","c1,2",rmse,kfold rmse
gov,ka,3.1713187566425023,1.5538476388879128,-0.04045335781560452,10.845205190666459,11.274426197184432
gov,gu,9.641079657712202,1.1378586466597056,-0.027552081872445507,11.690069898992956,12.159425464972593
gov,hi,9.226676759507967,0.639899920104531,-0.008691280869632315,11.940098416841467,12.281205380289444
gov,si,8.699105137105567,0.7479508367460037,-0.01009098466201883,17.42056130758372,17.892154507723827
gov,ta,7.643246902947444,0.5617090392354745,-0.007206016212177066,14.386473214211454,14.781839879926173
bible,ka,3.530272362826417,0.7049272770084367,-0.017150868827507014,10.041061688688783,10.435815455879554
bible,gu,5.755276990273847,0.610759977597228,-0.014650850951741835,9.893954055167551,10.29058793964217
bible,hi,6.310536160181632,0.5881346887482412,-0.01394092055217448,11.78771927934899,12.253992965069298
bible,si,6.7417020671916,0.7275492728111965,-0.01786070276575778,14.668407488562831,15.249287700320751
bible,ta,5.055579328537217,0.610051132615196,-0.01424964777924591,11.588945625172434,12.045763392591603
